experiment,experiment_type,feature_set,holdout_size_P,best_model,n_runs,n_folds,median_all_runs,median_best_per_fold,iqr_all_runs,mean_all_runs,sd_all_runs,min_all_runs,max_all_runs
ANOVA_L_2_Random,LPSO_Random_50,ANOVA,2,MLP,150,50,0.766001,0.803748,0.220385,0.731887,0.147042,0.361457,0.983368
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,MLP,150,50,0.695164,0.731437,0.124482,0.697244,0.089239,0.509733,0.897428
ANOVA_L_6_Uniform,LPSO_Systematic_12,ANOVA,6,MLP,36,12,0.699303,0.725519,0.072158,0.679529,0.089693,0.444149,0.899937
ANOVA_W_C,Within_Subject,ANOVA,N/A,XGBoost,3,1,0.937665,0.949371,0.063213,0.924398,0.03363,0.886157,0.949371
ANOVA_W_F,Within_Subject,ANOVA,N/A,XGBoost,3,1,0.976002,0.976149,0.001756,0.975515,0.000974,0.974393,0.976149
PCA_L_2_Random,LPSO_Random_50,PCA,2,KNN,150,50,0.542162,0.590529,0.100245,0.548754,0.089354,0.260406,0.785088
PCA_L_6_Random,LPSO_Random_50,PCA,6,KNN,150,50,0.532008,0.574913,0.069295,0.545693,0.060406,0.344035,0.740809
PCA_L_6_Uniform,LPSO_Systematic_12,PCA,6,KNN,36,12,0.541306,0.566674,0.0729,0.541717,0.060825,0.456618,0.738442
PCA_W_C,Within_Subject,PCA,N/A,MLP,3,1,0.977173,0.981709,0.021217,0.973125,0.011173,0.960492,0.981709
PCA_W_F,Within_Subject,PCA,N/A,MLP,3,1,0.975124,0.981124,0.019462,0.972637,0.009966,0.961662,0.981124
