experiment,experiment_type,feature_set,holdout_size_P,model,hyperparams,n_folds,median,iqr,mean,sd,min,max
ANOVA_L_2_Random,LPSO_Random_50,ANOVA,2,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",50,0.682174,0.139391,0.666976,0.089572,0.45571,0.843023
ANOVA_L_2_Random,LPSO_Random_50,ANOVA,2,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",50,0.764275,0.211545,0.733814,0.120968,0.453575,0.927326
ANOVA_L_2_Random,LPSO_Random_50,ANOVA,2,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",50,0.745674,0.174815,0.718474,0.10903,0.464248,0.908915
ANOVA_L_2_Random,LPSO_Random_50,ANOVA,2,MLP,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [100]}",50,0.769558,0.21864,0.743104,0.147989,0.397929,0.983368
ANOVA_L_2_Random,LPSO_Random_50,ANOVA,2,MLP,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [150, 50]}",50,0.77084,0.220897,0.741313,0.147468,0.372004,0.950882
ANOVA_L_2_Random,LPSO_Random_50,ANOVA,2,MLP,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [200, 100, 50]}",50,0.745911,0.237625,0.711244,0.146443,0.361457,0.930702
ANOVA_L_2_Random,LPSO_Random_50,ANOVA,2,SVM,"{""C"": ""0.1"", ""gamma"": ""auto"", ""kernel"": ""linear""}",50,0.773065,0.201958,0.747583,0.142133,0.433432,0.970789
ANOVA_L_2_Random,LPSO_Random_50,ANOVA,2,SVM,"{""C"": ""0.1"", ""gamma"": ""auto"", ""kernel"": ""poly""}",50,0.734293,0.208463,0.680392,0.153397,0.168639,0.89358
ANOVA_L_2_Random,LPSO_Random_50,ANOVA,2,SVM,"{""C"": ""0.1"", ""gamma"": ""auto"", ""kernel"": ""rbf""}",50,0.7297,0.200314,0.679472,0.148738,0.18787,0.885664
ANOVA_L_2_Random,LPSO_Random_50,ANOVA,2,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""3"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",50,0.714125,0.266176,0.708851,0.158001,0.317354,0.975052
ANOVA_L_2_Random,LPSO_Random_50,ANOVA,2,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""6"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",50,0.722375,0.233793,0.712446,0.15445,0.322148,0.953695
ANOVA_L_2_Random,LPSO_Random_50,ANOVA,2,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""9"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",50,0.724477,0.228125,0.718721,0.153626,0.314477,0.950739
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",50,0.652431,0.063698,0.647502,0.047161,0.515965,0.732254
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",50,0.715346,0.083525,0.70547,0.071829,0.506416,0.835252
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",50,0.699171,0.07595,0.690879,0.06429,0.511191,0.799523
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,MLP,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [100]}",50,0.720323,0.130006,0.713788,0.088517,0.526464,0.897428
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,MLP,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [150, 50]}",50,0.695953,0.139381,0.698569,0.090886,0.528229,0.871061
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,MLP,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [200, 100, 50]}",50,0.6921,0.132253,0.679376,0.086679,0.509733,0.861093
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,SVM,"{""C"": ""0.1"", ""gamma"": ""auto"", ""kernel"": ""linear""}",50,0.710298,0.107928,0.711485,0.080694,0.501277,0.868185
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,SVM,"{""C"": ""0.1"", ""gamma"": ""auto"", ""kernel"": ""poly""}",50,0.639994,0.11724,0.632475,0.087589,0.396206,0.836434
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,SVM,"{""C"": ""0.1"", ""gamma"": ""auto"", ""kernel"": ""rbf""}",50,0.637926,0.111578,0.635756,0.085612,0.404597,0.832585
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""3"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",50,0.670433,0.152907,0.673618,0.090461,0.508023,0.86079
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""6"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",50,0.674554,0.144024,0.671997,0.092292,0.474223,0.87717
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""9"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",50,0.672823,0.12836,0.67544,0.091921,0.486514,0.874598
ANOVA_L_6_Uniform,LPSO_Systematic_12,ANOVA,6,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",12,0.630627,0.082863,0.638729,0.047308,0.578158,0.711695
ANOVA_L_6_Uniform,LPSO_Systematic_12,ANOVA,6,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",12,0.676355,0.104026,0.693874,0.065294,0.599734,0.793308
ANOVA_L_6_Uniform,LPSO_Systematic_12,ANOVA,6,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",12,0.667862,0.100167,0.682503,0.059439,0.601064,0.768524
ANOVA_L_6_Uniform,LPSO_Systematic_12,ANOVA,6,MLP,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [100]}",12,0.712384,0.113885,0.693331,0.086909,0.543725,0.835655
ANOVA_L_6_Uniform,LPSO_Systematic_12,ANOVA,6,MLP,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [150, 50]}",12,0.714088,0.070517,0.68113,0.063384,0.548537,0.747625
ANOVA_L_6_Uniform,LPSO_Systematic_12,ANOVA,6,MLP,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [200, 100, 50]}",12,0.677031,0.066683,0.664128,0.116434,0.444149,0.899937
