experiment,experiment_dir,experiment_type,feature_set,holdout_size_P,model,n_runs,n_folds,median_all_runs,median_best_per_fold,iqr_all_runs,mean_all_runs,sd_all_runs,min_all_runs,max_all_runs
ANOVA_L_2_Random,grid_50_random_folds/ANOVA_L_2_complete,LPSO_Random_50,ANOVA,2,KNN,150,50,0.717145,0.764275,0.177849,0.706421,0.110376,0.453575,0.927326
ANOVA_L_2_Random,grid_50_random_folds/ANOVA_L_2_complete,LPSO_Random_50,ANOVA,2,MLP,150,50,0.766001,0.803748,0.220385,0.731887,0.147042,0.361457,0.983368
ANOVA_L_2_Random,grid_50_random_folds/ANOVA_L_2_complete,LPSO_Random_50,ANOVA,2,SVM,150,50,0.740525,0.773065,0.239539,0.702483,0.150603,0.168639,0.970789
ANOVA_L_2_Random,grid_50_random_folds/ANOVA_L_2_complete,LPSO_Random_50,ANOVA,2,XGBoost,150,50,0.718348,0.74365,0.247138,0.713339,0.154379,0.314477,0.975052
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,KNN,150,50,0.68917,0.715346,0.086299,0.681284,0.066314,0.506416,0.835252
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,150,50,0.695164,0.731437,0.124482,0.697244,0.089239,0.509733,0.897428
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,SVM,150,50,0.663275,0.710298,0.135861,0.659906,0.091737,0.396206,0.868185
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,XGBoost,150,50,0.674054,0.69355,0.142805,0.673685,0.090956,0.474223,0.87717
ANOVA_L_6_Uniform,grid_12_folds/ANOVA_L_6_C_Resource_Boosted,LPSO_Systematic_12,ANOVA,6,KNN,36,12,0.656514,0.677555,0.082077,0.671702,0.061114,0.578158,0.793308
ANOVA_L_6_Uniform,grid_12_folds/ANOVA_L_6_C_Resource_Boosted,LPSO_Systematic_12,ANOVA,6,MLP,36,12,0.699303,0.725519,0.072158,0.679529,0.089693,0.444149,0.899937
ANOVA_L_6_Uniform,grid_12_folds/ANOVA_L_6_C_Resource_Boosted,LPSO_Systematic_12,ANOVA,6,SVM,36,12,0.687225,0.71779,0.162494,0.671784,0.090265,0.551586,0.893287
ANOVA_L_6_Uniform,grid_12_folds/ANOVA_L_6_C_Resource_Boosted,LPSO_Systematic_12,ANOVA,6,XGBoost,36,12,0.654128,0.684251,0.089541,0.657313,0.092985,0.473072,0.882204
ANOVA_W_C,grid_12_folds/ANOVA_W_C,Within_Subject,ANOVA,N/A,KNN,3,1,0.837577,0.841528,0.036874,0.827919,0.020246,0.804653,0.841528
ANOVA_W_C,grid_12_folds/ANOVA_W_C,Within_Subject,ANOVA,N/A,MLP,3,1,0.821773,0.844454,0.047995,0.820896,0.02401,0.796459,0.844454
ANOVA_W_C,grid_12_folds/ANOVA_W_C,Within_Subject,ANOVA,N/A,SVM,3,1,0.690518,0.782119,0.092625,0.72071,0.053184,0.689494,0.782119
ANOVA_W_C,grid_12_folds/ANOVA_W_C,Within_Subject,ANOVA,N/A,XGBoost,3,1,0.937665,0.949371,0.063213,0.924398,0.03363,0.886157,0.949371
ANOVA_W_F,grid_12_folds/ANOVA_W_F,Within_Subject,ANOVA,N/A,KNN,3,1,0.528241,0.534387,0.019315,0.5259,0.009868,0.515072,0.534387
ANOVA_W_F,grid_12_folds/ANOVA_W_F,Within_Subject,ANOVA,N/A,MLP,3,1,0.935323,0.940152,0.050483,0.921715,0.027857,0.889669,0.940152
ANOVA_W_F,grid_12_folds/ANOVA_W_F,Within_Subject,ANOVA,N/A,SVM,3,1,0.043167,0.544922,0.509365,0.207882,0.29191,0.035558,0.544922
ANOVA_W_F,grid_12_folds/ANOVA_W_F,Within_Subject,ANOVA,N/A,XGBoost,3,1,0.976002,0.976149,0.001756,0.975515,0.000974,0.974393,0.976149
PCA_L_2_Random,grid_50_random_folds/PCA_L_2_ml_results,LPSO_Random_50,PCA,2,KNN,150,50,0.542162,0.590529,0.100245,0.548754,0.089354,0.260406,0.785088
PCA_L_2_Random,grid_50_random_folds/PCA_L_2_ml_results,LPSO_Random_50,PCA,2,MLP,150,50,0.524131,0.580648,0.098606,0.545148,0.10609,0.255668,0.904368
PCA_L_2_Random,grid_50_random_folds/PCA_L_2_ml_results,LPSO_Random_50,PCA,2,SVM,150,50,0.513974,0.596793,0.098341,0.531721,0.104071,0.255668,0.840351
PCA_L_2_Random,grid_50_random_folds/PCA_L_2_ml_results,LPSO_Random_50,PCA,2,XGBoost,150,50,0.53199,0.594073,0.099153,0.547593,0.087227,0.27071,0.878286
PCA_L_6_Random,grid_50_random_folds/PCA_L_6_ml_results,LPSO_Random_50,PCA,6,KNN,150,50,0.532008,0.574913,0.069295,0.545693,0.060406,0.344035,0.740809
PCA_L_6_Random,grid_50_random_folds/PCA_L_6_ml_results,LPSO_Random_50,PCA,6,MLP,150,50,0.528676,0.572026,0.079929,0.542262,0.069457,0.373221,0.800396
PCA_L_6_Random,grid_50_random_folds/PCA_L_6_ml_results,LPSO_Random_50,PCA,6,SVM,150,50,0.512177,0.564707,0.068283,0.522144,0.06389,0.384531,0.743105
PCA_L_6_Random,grid_50_random_folds/PCA_L_6_ml_results,LPSO_Random_50,PCA,6,XGBoost,150,50,0.52999,0.578349,0.085282,0.541682,0.066588,0.379424,0.760417
PCA_L_6_Uniform,grid_12_folds/PCA_L_6_C-3,LPSO_Systematic_12,PCA,6,KNN,36,12,0.541306,0.566674,0.0729,0.541717,0.060825,0.456618,0.738442
PCA_L_6_Uniform,grid_12_folds/PCA_L_6_C-3,LPSO_Systematic_12,PCA,6,MLP,36,12,0.532949,0.558971,0.11288,0.532084,0.068833,0.414866,0.663214
PCA_L_6_Uniform,grid_12_folds/PCA_L_6_C-3,LPSO_Systematic_12,PCA,6,SVM,36,12,0.520681,0.575566,0.064512,0.525334,0.066649,0.406078,0.687144
PCA_L_6_Uniform,grid_12_folds/PCA_L_6_C-3,LPSO_Systematic_12,PCA,6,XGBoost,36,12,0.534553,0.574752,0.082851,0.544892,0.064212,0.41743,0.702967
PCA_W_C,grid_12_folds/PCA_W_C-3,Within_Subject,PCA,N/A,KNN,3,1,0.644425,0.644864,0.016974,0.63906,0.009676,0.62789,0.644864
PCA_W_C,grid_12_folds/PCA_W_C-3,Within_Subject,PCA,N/A,MLP,3,1,0.977173,0.981709,0.021217,0.973125,0.011173,0.960492,0.981709
PCA_W_C,grid_12_folds/PCA_W_C-3,Within_Subject,PCA,N/A,SVM,3,1,0.621159,0.936201,0.381329,0.704078,0.203739,0.554873,0.936201
PCA_W_C,grid_12_folds/PCA_W_C-3,Within_Subject,PCA,N/A,XGBoost,3,1,0.89801,0.901375,0.004536,0.898742,0.002355,0.896839,0.901375
PCA_W_F,grid_12_folds/PCA_W_F-3,Within_Subject,PCA,N/A,KNN,3,1,0.644425,0.644864,0.016974,0.63906,0.009676,0.62789,0.644864
PCA_W_F,grid_12_folds/PCA_W_F-3,Within_Subject,PCA,N/A,MLP,3,1,0.975124,0.981124,0.019462,0.972637,0.009966,0.961662,0.981124
PCA_W_F,grid_12_folds/PCA_W_F-3,Within_Subject,PCA,N/A,SVM,3,1,0.621013,0.936201,0.381329,0.704029,0.203769,0.554873,0.936201
PCA_W_F,grid_12_folds/PCA_W_F-3,Within_Subject,PCA,N/A,XGBoost,3,1,0.9024,0.903278,0.006731,0.900741,0.003659,0.896547,0.903278
