experiment,experiment_dir,experiment_type,feature_set,holdout_size_P,model,fold_id,task_id,hyperparams,test_accuracy,train_accuracy,test_f1,test_precision,test_recall,source_file
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,KNN,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,task_KNN_0_0124,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.7018430439952438,0.8778414839797639,0.7006045369657484,0.7085998289946831,0.7018430439952438,grid_50_random_folds/ANOVA_L_6_complete/KNN/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/task_KNN_0_0124/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,KNN,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,task_KNN_0_2825,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.6524970273483948,1.0,0.6521990959096675,0.6548266748800889,0.6524970273483948,grid_50_random_folds/ANOVA_L_6_complete/KNN/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/task_KNN_0_2825/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,KNN,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,task_KNN_0_9928,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.7036266349583828,0.8935919055649241,0.702575849584702,0.7097069737456329,0.7036266349583828,grid_50_random_folds/ANOVA_L_6_complete/KNN/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/task_KNN_0_9928/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,KNN,sub-10_sub-32_sub-36_sub-38_sub-43_sub-46,task_KNN_1_0124,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.5064159952253059,0.8812662239153154,0.49934675346406954,0.5184689350310269,0.5064159952253059,grid_50_random_folds/ANOVA_L_6_complete/KNN/sub-10_sub-32_sub-36_sub-38_sub-43_sub-46/task_KNN_1_0124/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,KNN,sub-10_sub-32_sub-36_sub-38_sub-43_sub-46,task_KNN_1_2825,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.5159653834676216,1.0,0.5130093043592306,0.5250355050808061,0.5159653834676216,grid_50_random_folds/ANOVA_L_6_complete/KNN/sub-10_sub-32_sub-36_sub-38_sub-43_sub-46/task_KNN_1_2825/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,KNN,sub-10_sub-32_sub-36_sub-38_sub-43_sub-46,task_KNN_1_9928,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.5111906893464637,0.8986279203047568,0.5059808729401484,0.5221469791368679,0.5111906893464637,grid_50_random_folds/ANOVA_L_6_complete/KNN/sub-10_sub-32_sub-36_sub-38_sub-43_sub-46/task_KNN_1_9928/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,KNN,sub-11_sub-25_sub-30_sub-45_sub-57_sub-59,task_KNN_2_0124,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.5567311200291865,0.878373468106894,0.5589703960188037,0.5656193105128076,0.5567311200291865,grid_50_random_folds/ANOVA_L_6_complete/KNN/sub-11_sub-25_sub-30_sub-45_sub-57_sub-59/task_KNN_2_0124/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,KNN,sub-11_sub-25_sub-30_sub-45_sub-57_sub-59,task_KNN_2_2825,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.549799343305363,1.0,0.5519228172917161,0.5568909228799753,0.549799343305363,grid_50_random_folds/ANOVA_L_6_complete/KNN/sub-11_sub-25_sub-30_sub-45_sub-57_sub-59/task_KNN_2_2825/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,KNN,sub-11_sub-25_sub-30_sub-45_sub-57_sub-59,task_KNN_2_9928,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.553082816490332,0.8954513923297989,0.5552842281327287,0.5610889902913815,0.553082816490332,grid_50_random_folds/ANOVA_L_6_complete/KNN/sub-11_sub-25_sub-30_sub-45_sub-57_sub-59/task_KNN_2_9928/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,KNN,sub-11_sub-27_sub-32_sub-43_sub-52_sub-64,task_KNN_3_0124,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.722816706938212,0.8746223063386127,0.7221446480357986,0.7416251786177812,0.722816706938212,grid_50_random_folds/ANOVA_L_6_complete/KNN/sub-11_sub-27_sub-32_sub-43_sub-52_sub-64/task_KNN_3_0124/results.json
