Subject,Median_Accuracy,Mean_Accuracy,N_Folds,N_Observations
sub-1,0.9138,0.9101,2,24
sub-2,0.6071,0.5999,2,24
sub-3,0.8424,0.7685,2,24
sub-4,0.9581,0.9362,1,12
sub-5,0.7839,0.7784,2,24
sub-6,0.3274,0.3353,2,24
sub-7,0.9508,0.9190,3,36
sub-8,0.9876,0.9697,2,24
sub-9,N/A,N/A,0,0
sub-10,N/A,N/A,0,0
sub-11,0.8981,0.8510,2,24
sub-12,N/A,N/A,0,0
sub-13,0.6815,0.7400,1,12
sub-14,0.8570,0.8555,3,36
sub-15,0.7382,0.7303,4,48
sub-16,0.9352,0.8965,1,12
sub-17,0.9212,0.9223,1,12
sub-18,0.8986,0.8938,6,72
sub-19,0.8658,0.7987,2,24
sub-20,N/A,N/A,0,0
sub-21,0.9720,0.9098,1,12
sub-22,0.7166,0.7370,1,12
sub-23,0.5978,0.6675,1,12
sub-24,0.9248,0.9318,3,36
sub-25,N/A,N/A,0,0
sub-26,N/A,N/A,0,0
sub-27,N/A,N/A,0,0
sub-28,0.8662,0.7788,2,24
sub-29,N/A,N/A,0,0
sub-30,0.8933,0.8867,2,24
sub-31,N/A,N/A,0,0
sub-32,N/A,N/A,0,0
sub-33,0.7670,0.7706,1,12
sub-34,N/A,N/A,0,0
sub-35,0.8380,0.8706,2,24
sub-36,0.5009,0.5584,1,12
sub-37,0.6607,0.6547,1,12
sub-38,0.5848,0.5523,2,24
sub-39,0.7228,0.7017,3,36
sub-40,0.7293,0.7139,1,12
sub-41,0.7205,0.6166,2,24
sub-42,0.8274,0.7923,2,24
sub-43,N/A,N/A,0,0
sub-44,0.5771,0.5858,4,48
sub-45,N/A,N/A,0,0
sub-46,N/A,N/A,0,0
sub-47,0.7451,0.7266,1,12
sub-48,0.7382,0.7120,2,24
sub-49,0.8719,0.8463,4,48
sub-50,0.2255,0.2062,1,12
sub-51,0.4453,0.4244,2,24
sub-52,N/A,N/A,0,0
sub-53,N/A,N/A,0,0
sub-54,0.7802,0.7528,4,48
sub-55,0.8947,0.8392,1,12
sub-56,0.7684,0.7763,3,36
sub-57,0.7859,0.7475,1,12
sub-58,0.7091,0.6856,2,24
sub-59,0.0476,0.1184,3,36
sub-60,0.5571,0.4306,1,12
sub-61,0.2775,0.2717,3,36
sub-62,0.8215,0.8306,3,36
sub-63,0.4507,0.4176,2,24
sub-64,0.9425,0.9316,1,12
sub-65,0.5201,0.4421,1,12
