Subject,Fold,Model,Accuracy
sub-1,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,KNN,0.1880
sub-1,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,MLP_(Neural_Network),1.0000
sub-1,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,SVM,1.0000
sub-1,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,XGBoost,1.0000
sub-1,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,KNN,0.6136
sub-1,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,MLP_(Neural_Network),0.0026
sub-1,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,SVM,1.0000
sub-1,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,XGBoost,1.0000
sub-2,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59,KNN,0.1950
sub-2,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59,MLP_(Neural_Network),0.9579
sub-2,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59,SVM,0.9197
sub-2,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59,XGBoost,0.9924
sub-2,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,KNN,0.4092
sub-2,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,MLP_(Neural_Network),0.6750
sub-2,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,SVM,0.8891
sub-2,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,XGBoost,0.9579
sub-2,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,KNN,0.0096
sub-2,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,MLP_(Neural_Network),1.0000
sub-2,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,SVM,0.9082
sub-2,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,XGBoost,0.9790
sub-2,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,KNN,0.0172
sub-2,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,MLP_(Neural_Network),0.9981
sub-2,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,SVM,0.8413
sub-2,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,XGBoost,0.9579
sub-2,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,KNN,0.0306
sub-2,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,MLP_(Neural_Network),0.9809
sub-2,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,SVM,0.9962
sub-2,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,XGBoost,0.9178
sub-3,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,KNN,0.0542
sub-3,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,MLP_(Neural_Network),1.0000
sub-3,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,SVM,1.0000
sub-3,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,XGBoost,0.9951
sub-3,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60,KNN,0.2315
sub-3,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60,MLP_(Neural_Network),1.0000
sub-3,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60,SVM,0.8768
sub-3,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60,XGBoost,1.0000
sub-4,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,KNN,0.0442
sub-4,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,MLP_(Neural_Network),1.0000
sub-4,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,SVM,1.0000
sub-4,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,XGBoost,0.9978
sub-4,sub-4_sub-16_sub-20_sub-44_sub-55_sub-65,KNN,0.9249
sub-4,sub-4_sub-16_sub-20_sub-44_sub-55_sub-65,MLP_(Neural_Network),1.0000
