Subject,Median_Accuracy,Mean_Accuracy,N_Folds,N_Observations
sub-1,1.0000,0.7808,2,24
sub-2,0.9082,0.6887,5,60
sub-3,0.9557,0.7309,2,24
sub-4,1.0000,0.8498,5,60
sub-5,1.0000,0.8108,7,84
sub-6,0.8546,0.6486,7,84
sub-7,0.9862,0.7666,4,48
sub-8,0.9955,0.7401,7,84
sub-9,0.9988,0.8065,2,24
sub-10,0.8337,0.6281,2,24
sub-11,0.9733,0.7606,6,72
sub-12,0.9909,0.8826,2,24
sub-13,0.9990,0.8026,5,60
sub-14,0.9972,0.7327,5,60
sub-15,0.9704,0.7920,7,84
sub-16,0.9991,0.8132,3,36
sub-17,1.0000,0.8448,5,60
sub-18,0.9991,0.7935,4,48
sub-19,0.9967,0.8347,3,36
sub-20,1.0000,0.8295,3,36
sub-21,1.0000,0.8129,3,36
sub-22,0.9918,0.7753,2,24
sub-23,0.9990,0.8091,2,24
sub-24,1.0000,0.8920,3,36
sub-25,0.5149,0.5250,3,36
sub-26,1.0000,0.7951,4,48
sub-27,0.9990,0.8145,4,48
sub-28,1.0000,0.7955,7,84
sub-29,1.0000,0.7466,3,36
sub-30,1.0000,0.8392,4,48
sub-31,0.8470,0.6299,2,24
sub-32,0.9881,0.7004,6,72
sub-33,1.0000,0.8353,3,36
sub-34,1.0000,0.7741,3,36
sub-35,1.0000,0.7553,7,84
sub-36,0.9901,0.7385,8,96
sub-37,0.1876,0.3441,5,60
sub-38,0.0304,0.2485,6,72
sub-39,0.3690,0.4257,4,48
sub-40,0.1781,0.3395,5,60
sub-41,0.0816,0.2920,8,96
sub-42,0.0970,0.2696,4,48
sub-43,0.0354,0.2284,5,60
sub-44,0.3493,0.4089,11,132
sub-45,0.0039,0.1820,8,96
sub-46,0.4667,0.5316,2,24
sub-47,0.1275,0.3629,5,60
sub-48,0.1465,0.3195,4,48
sub-49,0.2938,0.4055,6,72
sub-50,0.0052,0.2546,2,24
sub-51,0.0100,0.2275,6,72
sub-52,0.2312,0.3299,2,24
sub-53,0.0347,0.2615,4,48
sub-54,0.1953,0.3757,6,72
sub-55,0.2154,0.3310,5,60
sub-56,0.1947,0.3481,3,36
sub-57,0.1300,0.3436,7,84
sub-58,0.1351,0.2940,5,60
sub-59,0.0000,0.2298,4,48
sub-60,0.0000,0.2064,10,120
sub-61,0.1108,0.3189,6,72
sub-62,0.4239,0.4569,3,36
sub-63,0.0316,0.2625,3,36
sub-64,0.5091,0.5216,6,72
sub-65,0.0018,0.2212,5,60
