Subject,Fold,Model,Accuracy
sub-1,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,KNN,0.3029
sub-1,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,MLP_(Neural_Network),1.0000
sub-1,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,SVM,1.0000
sub-1,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,XGBoost,0.9608
sub-2,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,KNN,0.0822
sub-2,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,MLP_(Neural_Network),1.0000
sub-2,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,SVM,0.9120
sub-2,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,XGBoost,0.8566
sub-3,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,KNN,0.0690
sub-3,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,MLP_(Neural_Network),1.0000
sub-3,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,SVM,0.9655
sub-3,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,XGBoost,0.7882
sub-4,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,KNN,0.0088
sub-4,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,MLP_(Neural_Network),1.0000
sub-4,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,SVM,1.0000
sub-4,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,XGBoost,1.0000
sub-5,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,KNN,0.0022
sub-5,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,MLP_(Neural_Network),1.0000
sub-5,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,SVM,1.0000
sub-5,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,XGBoost,1.0000
sub-6,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,KNN,0.0236
sub-6,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,MLP_(Neural_Network),0.9598
sub-6,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,SVM,1.0000
sub-6,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,XGBoost,0.9858
sub-7,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,KNN,0.0197
sub-7,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,MLP_(Neural_Network),0.9980
sub-7,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,SVM,1.0000
sub-7,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,XGBoost,0.1654
sub-8,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,KNN,0.0451
sub-8,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,MLP_(Neural_Network),0.9977
sub-8,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,SVM,0.9977
sub-8,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,XGBoost,0.0880
sub-9,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,KNN,0.0468
sub-9,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,MLP_(Neural_Network),0.9901
sub-9,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,SVM,0.9901
sub-9,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,XGBoost,0.2192
sub-10,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,KNN,0.0047
sub-10,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,MLP_(Neural_Network),0.9860
sub-10,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,SVM,0.9883
sub-10,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,XGBoost,0.9125
sub-11,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,KNN,0.0316
sub-11,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,MLP_(Neural_Network),0.9612
sub-11,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,SVM,0.9466
sub-11,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,XGBoost,0.7063
sub-12,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,KNN,0.0060
sub-12,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,MLP_(Neural_Network),0.9738
sub-12,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,SVM,0.9718
sub-12,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,XGBoost,0.9032
sub-13,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,KNN,0.0039
sub-13,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,MLP_(Neural_Network),0.0000
sub-13,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,SVM,1.0000
sub-13,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,XGBoost,0.9942
sub-14,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,KNN,0.0131
sub-14,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,MLP_(Neural_Network),0.0000
sub-14,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,SVM,1.0000
sub-14,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,XGBoost,0.9757
sub-15,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,KNN,0.0084
sub-15,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,MLP_(Neural_Network),0.0000
sub-15,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,SVM,1.0000
sub-15,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,XGBoost,0.8649
sub-16,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,KNN,0.3208
sub-16,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,MLP_(Neural_Network),1.0000
sub-16,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,SVM,1.0000
sub-16,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,XGBoost,0.9881
sub-17,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,KNN,0.3223
sub-17,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,MLP_(Neural_Network),1.0000
sub-17,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,SVM,1.0000
sub-17,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,XGBoost,0.9689
sub-18,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,KNN,0.3716
sub-18,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,MLP_(Neural_Network),1.0000
sub-18,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,SVM,1.0000
sub-18,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,XGBoost,0.9623
sub-19,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,KNN,0.7267
sub-19,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,MLP_(Neural_Network),0.9967
sub-19,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,SVM,1.0000
sub-19,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,XGBoost,0.9967
sub-20,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,KNN,0.8503
sub-20,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,MLP_(Neural_Network),1.0000
sub-20,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,SVM,1.0000
sub-20,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,XGBoost,0.9982
sub-21,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,KNN,0.7664
sub-21,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,MLP_(Neural_Network),1.0000
sub-21,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,SVM,1.0000
sub-21,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,XGBoost,1.0000
sub-22,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,KNN,0.3963
sub-22,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,MLP_(Neural_Network),1.0000
sub-22,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,SVM,1.0000
sub-22,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,XGBoost,1.0000
sub-23,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,KNN,0.3131
sub-23,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,MLP_(Neural_Network),1.0000
sub-23,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,SVM,1.0000
sub-23,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,XGBoost,1.0000
sub-24,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,KNN,0.3723
sub-24,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,MLP_(Neural_Network),1.0000
sub-24,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,SVM,1.0000
sub-24,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,XGBoost,1.0000
sub-25,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,KNN,0.0092
sub-25,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,MLP_(Neural_Network),0.9839
sub-25,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,SVM,0.9057
sub-25,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,XGBoost,0.8000
sub-26,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,KNN,0.0050
sub-26,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,MLP_(Neural_Network),1.0000
