feature_index,feature_name,channel_index,channel_name,band_index,band_name,feature_type,section
0,feature_0,0,Fp1,0.0,Delta,relative_band_power,per_channel_per_band
1,feature_1,0,Fp1,1.0,Theta,relative_band_power,per_channel_per_band
2,feature_2,0,Fp1,2.0,Alpha,relative_band_power,per_channel_per_band
3,feature_3,0,Fp1,3.0,Beta,relative_band_power,per_channel_per_band
4,feature_4,1,Fp2,0.0,Delta,relative_band_power,per_channel_per_band
5,feature_5,1,Fp2,1.0,Theta,relative_band_power,per_channel_per_band
6,feature_6,1,Fp2,2.0,Alpha,relative_band_power,per_channel_per_band
7,feature_7,1,Fp2,3.0,Beta,relative_band_power,per_channel_per_band
8,feature_8,2,F3,0.0,Delta,relative_band_power,per_channel_per_band
9,feature_9,2,F3,1.0,Theta,relative_band_power,per_channel_per_band
10,feature_10,2,F3,2.0,Alpha,relative_band_power,per_channel_per_band
11,feature_11,2,F3,3.0,Beta,relative_band_power,per_channel_per_band
12,feature_12,3,F4,0.0,Delta,relative_band_power,per_channel_per_band
13,feature_13,3,F4,1.0,Theta,relative_band_power,per_channel_per_band
14,feature_14,3,F4,2.0,Alpha,relative_band_power,per_channel_per_band
15,feature_15,3,F4,3.0,Beta,relative_band_power,per_channel_per_band
16,feature_16,4,C3,0.0,Delta,relative_band_power,per_channel_per_band
17,feature_17,4,C3,1.0,Theta,relative_band_power,per_channel_per_band
18,feature_18,4,C3,2.0,Alpha,relative_band_power,per_channel_per_band
19,feature_19,4,C3,3.0,Beta,relative_band_power,per_channel_per_band
20,feature_20,5,C4,0.0,Delta,relative_band_power,per_channel_per_band
21,feature_21,5,C4,1.0,Theta,relative_band_power,per_channel_per_band
22,feature_22,5,C4,2.0,Alpha,relative_band_power,per_channel_per_band
23,feature_23,5,C4,3.0,Beta,relative_band_power,per_channel_per_band
24,feature_24,6,P3,0.0,Delta,relative_band_power,per_channel_per_band
25,feature_25,6,P3,1.0,Theta,relative_band_power,per_channel_per_band
26,feature_26,6,P3,2.0,Alpha,relative_band_power,per_channel_per_band
27,feature_27,6,P3,3.0,Beta,relative_band_power,per_channel_per_band
28,feature_28,7,P4,0.0,Delta,relative_band_power,per_channel_per_band
29,feature_29,7,P4,1.0,Theta,relative_band_power,per_channel_per_band
30,feature_30,7,P4,2.0,Alpha,relative_band_power,per_channel_per_band
31,feature_31,7,P4,3.0,Beta,relative_band_power,per_channel_per_band
32,feature_32,8,O1,0.0,Delta,relative_band_power,per_channel_per_band
33,feature_33,8,O1,1.0,Theta,relative_band_power,per_channel_per_band
34,feature_34,8,O1,2.0,Alpha,relative_band_power,per_channel_per_band
35,feature_35,8,O1,3.0,Beta,relative_band_power,per_channel_per_band
36,feature_36,9,O2,0.0,Delta,relative_band_power,per_channel_per_band
37,feature_37,9,O2,1.0,Theta,relative_band_power,per_channel_per_band
38,feature_38,9,O2,2.0,Alpha,relative_band_power,per_channel_per_band
39,feature_39,9,O2,3.0,Beta,relative_band_power,per_channel_per_band
40,feature_40,10,F7,0.0,Delta,relative_band_power,per_channel_per_band
41,feature_41,10,F7,1.0,Theta,relative_band_power,per_channel_per_band
42,feature_42,10,F7,2.0,Alpha,relative_band_power,per_channel_per_band
43,feature_43,10,F7,3.0,Beta,relative_band_power,per_channel_per_band
44,feature_44,11,F8,0.0,Delta,relative_band_power,per_channel_per_band
45,feature_45,11,F8,1.0,Theta,relative_band_power,per_channel_per_band
46,feature_46,11,F8,2.0,Alpha,relative_band_power,per_channel_per_band
47,feature_47,11,F8,3.0,Beta,relative_band_power,per_channel_per_band
48,feature_48,12,T3,0.0,Delta,relative_band_power,per_channel_per_band
49,feature_49,12,T3,1.0,Theta,relative_band_power,per_channel_per_band
50,feature_50,12,T3,2.0,Alpha,relative_band_power,per_channel_per_band
51,feature_51,12,T3,3.0,Beta,relative_band_power,per_channel_per_band
52,feature_52,13,T4,0.0,Delta,relative_band_power,per_channel_per_band
53,feature_53,13,T4,1.0,Theta,relative_band_power,per_channel_per_band
54,feature_54,13,T4,2.0,Alpha,relative_band_power,per_channel_per_band
55,feature_55,13,T4,3.0,Beta,relative_band_power,per_channel_per_band
56,feature_56,14,T5,0.0,Delta,relative_band_power,per_channel_per_band
57,feature_57,14,T5,1.0,Theta,relative_band_power,per_channel_per_band
58,feature_58,14,T5,2.0,Alpha,relative_band_power,per_channel_per_band
59,feature_59,14,T5,3.0,Beta,relative_band_power,per_channel_per_band
60,feature_60,15,T6,0.0,Delta,relative_band_power,per_channel_per_band
61,feature_61,15,T6,1.0,Theta,relative_band_power,per_channel_per_band
62,feature_62,15,T6,2.0,Alpha,relative_band_power,per_channel_per_band
63,feature_63,15,T6,3.0,Beta,relative_band_power,per_channel_per_band
64,feature_64,16,Fz,0.0,Delta,relative_band_power,per_channel_per_band
65,feature_65,16,Fz,1.0,Theta,relative_band_power,per_channel_per_band
66,feature_66,16,Fz,2.0,Alpha,relative_band_power,per_channel_per_band
67,feature_67,16,Fz,3.0,Beta,relative_band_power,per_channel_per_band
68,feature_68,17,Cz,0.0,Delta,relative_band_power,per_channel_per_band
69,feature_69,17,Cz,1.0,Theta,relative_band_power,per_channel_per_band
70,feature_70,17,Cz,2.0,Alpha,relative_band_power,per_channel_per_band
71,feature_71,17,Cz,3.0,Beta,relative_band_power,per_channel_per_band
72,feature_72,18,Pz,0.0,Delta,relative_band_power,per_channel_per_band
73,feature_73,18,Pz,1.0,Theta,relative_band_power,per_channel_per_band
74,feature_74,18,Pz,2.0,Alpha,relative_band_power,per_channel_per_band
75,feature_75,18,Pz,3.0,Beta,relative_band_power,per_channel_per_band
76,feature_76,0,Fp1,,all_bands,band_power,per_channel_across_bands
77,feature_77,1,Fp2,,all_bands,band_power,per_channel_across_bands
78,feature_78,2,F3,,all_bands,band_power,per_channel_across_bands
79,feature_79,3,F4,,all_bands,band_power,per_channel_across_bands
80,feature_80,4,C3,,all_bands,band_power,per_channel_across_bands
81,feature_81,5,C4,,all_bands,band_power,per_channel_across_bands
82,feature_82,6,P3,,all_bands,band_power,per_channel_across_bands
83,feature_83,7,P4,,all_bands,band_power,per_channel_across_bands
84,feature_84,8,O1,,all_bands,band_power,per_channel_across_bands
85,feature_85,9,O2,,all_bands,band_power,per_channel_across_bands
86,feature_86,10,F7,,all_bands,band_power,per_channel_across_bands
87,feature_87,11,F8,,all_bands,band_power,per_channel_across_bands
88,feature_88,12,T3,,all_bands,band_power,per_channel_across_bands
89,feature_89,13,T4,,all_bands,band_power,per_channel_across_bands
90,feature_90,14,T5,,all_bands,band_power,per_channel_across_bands
91,feature_91,15,T6,,all_bands,band_power,per_channel_across_bands
92,feature_92,16,Fz,,all_bands,band_power,per_channel_across_bands
93,feature_93,17,Cz,,all_bands,band_power,per_channel_across_bands
94,feature_94,18,Pz,,all_bands,band_power,per_channel_across_bands
