feature,group,mean,std,median,min,max,q25,q75
feature_0,alz,0.9061564596247462,0.06354554632642073,0.9219511553502738,0.0973520511629811,0.9965728557870814,0.87944134293564,0.9503473157090352
feature_0,cntrl,0.8982580952664311,0.07080074829158187,0.9170545034806552,0.34277570723655426,0.9952976744704766,0.8696566923187306,0.9473381769895118
feature_1,alz,0.06362396816863714,0.04563130778749211,0.051663427518894266,0.0022770454664533873,0.4550822925317793,0.03194223236533762,0.08153527245690126
feature_1,cntrl,0.056215428285450265,0.039051432229765974,0.045915592695162016,0.002939769438061169,0.4501575731826861,0.02914146565187588,0.07191971146559728
feature_2,alz,0.0242433968647028,0.02695853703107278,0.016594615144314158,0.0003145289801454205,0.6749509589747973,0.009707418023100396,0.028473338283759492
feature_2,cntrl,0.038287586302586496,0.0417583472966817,0.024862647088660157,0.0007372351180478018,0.56156872401225,0.013344465631991242,0.0469687436271232
feature_3,alz,0.005976175341913944,0.005377749685932136,0.004568258386006323,0.00015168466019312108,0.12629507131945097,0.0028646384139057847,0.007298163094514796
feature_3,cntrl,0.007238890145532227,0.00575162126773312,0.005628660392691505,0.0001456919955628907,0.07844758378334693,0.0035252455781598423,0.009070120793359119
feature_4,alz,0.9055563722788863,0.06442360258948726,0.9217946539186045,0.26639576350791677,0.9951694765127409,0.8782891994047616,0.9507431370011488
feature_4,cntrl,0.8981192539694318,0.07113313688285279,0.916637269820054,0.3377296002319524,0.9950819631439062,0.8703493592092427,0.9475185801103015
feature_5,alz,0.06379901098607776,0.046710368231944396,0.0514779410417092,0.002675389057915449,0.4660633343626534,0.03152357766589865,0.08187931740120974
feature_5,cntrl,0.05620656128631148,0.039126947897174344,0.046173570833080255,0.002374550806825921,0.4681698798508462,0.029107339382688953,0.07166619924659223
feature_6,alz,0.02412562887946269,0.02657973015791128,0.016572968869336825,0.00042679977875792165,0.5309218773131827,0.009701821695185443,0.028531095653221206
