Experiment,Experiment_Type,Subject,Swing,Mean_Accuracy,Min_Accuracy,Max_Accuracy,N_Combinations,Min_Model_Hyperparam,Max_Model_Hyperparam
ANOVA_L_6_Random,random,sub-2,0.2214,0.6518,0.5274,0.7488,10,"XGBoost (learning_rate=unknown, max_depth=unknown, n_estimators=unknown)","MLP (activation=tanh, alpha=0.1, hidden=[])"
ANOVA_L_6_Random,random,sub-6,0.3146,0.6361,0.4986,0.8132,10,"SVM (kernel=rbf, C=0.1, gamma=auto)","XGBoost (learning_rate=unknown, max_depth=unknown, n_estimators=unknown)"
ANOVA_L_6_Random,random,sub-14,0.3514,0.7120,0.5196,0.8711,11,"SVM (kernel=rbf, C=0.1, gamma=auto)","MLP (activation=tanh, alpha=0.1, hidden=[])"
ANOVA_L_6_Random,random,sub-44,0.3395,0.6799,0.4865,0.8260,12,"XGBoost (learning_rate=unknown, max_depth=unknown, n_estimators=unknown)","MLP (activation=tanh, alpha=0.1, hidden=[])"
ANOVA_L_6_Random,random,sub-53,0.2935,0.6545,0.5333,0.8268,8,"SVM (kernel=poly, C=0.1, gamma=auto)","SVM (kernel=linear, C=0.1, gamma=auto)"
ANOVA_L_6_Random,random,sub-56,0.2472,0.6845,0.5728,0.8200,8,"XGBoost (learning_rate=unknown, max_depth=unknown, n_estimators=unknown)","SVM (kernel=linear, C=0.1, gamma=auto)"
ANOVA_L_6_Random,random,sub-21,0.3653,0.7401,0.5058,0.8711,8,"SVM (kernel=rbf, C=0.1, gamma=auto)","MLP (activation=tanh, alpha=0.1, hidden=[])"
ANOVA_L_6_Random,random,sub-32,0.3599,0.6930,0.5112,0.8711,11,"KNN (n_neighbors=unknown, metric=euclidean, weights=uniform)","MLP (activation=tanh, alpha=0.1, hidden=[])"
ANOVA_L_6_Random,random,sub-49,0.2669,0.7502,0.6042,0.8711,11,"XGBoost (learning_rate=unknown, max_depth=unknown, n_estimators=unknown)","MLP (activation=tanh, alpha=0.1, hidden=[])"
ANOVA_L_6_Random,random,sub-57,0.3698,0.6917,0.5013,0.8711,11,"SVM (kernel=linear, C=0.1, gamma=auto)","MLP (activation=tanh, alpha=0.1, hidden=[])"
ANOVA_L_6_Random,random,sub-65,0.3514,0.7607,0.5196,0.8711,9,"SVM (kernel=rbf, C=0.1, gamma=auto)","MLP (activation=tanh, alpha=0.1, hidden=[])"
ANOVA_L_6_Random,random,sub-3,0.1063,0.7000,0.6604,0.7667,7,"SVM (kernel=rbf, C=0.1, gamma=auto)","MLP (activation=tanh, alpha=0.1, hidden=[])"
ANOVA_L_6_Random,random,sub-17,0.2841,0.6978,0.5427,0.8268,11,"SVM (kernel=poly, C=0.1, gamma=auto)","SVM (kernel=linear, C=0.1, gamma=auto)"
ANOVA_L_6_Random,random,sub-23,0.0922,0.7194,0.6837,0.7759,7,"SVM (kernel=linear, C=0.1, gamma=auto)","MLP (activation=tanh, alpha=0.1, hidden=[])"
ANOVA_L_6_Random,random,sub-51,0.2894,0.6771,0.4865,0.7759,9,"XGBoost (learning_rate=unknown, max_depth=unknown, n_estimators=unknown)","MLP (activation=tanh, alpha=0.1, hidden=[])"
ANOVA_L_6_Random,random,sub-54,0.2488,0.6417,0.4986,0.7474,10,"SVM (kernel=rbf, C=0.1, gamma=auto)","SVM (kernel=linear, C=0.1, gamma=auto)"
ANOVA_L_6_Random,random,sub-60,0.3585,0.6814,0.5196,0.8781,12,"SVM (kernel=rbf, C=0.1, gamma=auto)","MLP (activation=tanh, alpha=0.1, hidden=[])"
ANOVA_L_6_Random,random,sub-16,0.2061,0.6697,0.6199,0.8260,8,"SVM (kernel=linear, C=0.1, gamma=auto)","MLP (activation=tanh, alpha=0.1, hidden=[])"
ANOVA_L_6_Random,random,sub-27,0.1955,0.7286,0.6199,0.8154,10,"SVM (kernel=linear, C=0.1, gamma=auto)","MLP (activation=tanh, alpha=0.1, hidden=[])"
