model,feature,fold_size,fold_name,accuracy,accuracy_pct
SVM,ANOVA,L_2,sub-3_sub-60,0.16863905325443787,16.9%
SVM,ANOVA,L_2,sub-14_sub-61,0.5971291866028708,59.7%
SVM,ANOVA,L_2,sub-2_sub-39,0.7324723247232472,73.2%
SVM,ANOVA,L_2,sub-14_sub-58,0.7658349328214972,76.6%
SVM,ANOVA,L_2,sub-16_sub-42,0.9259581881533101,92.6%
XGBoost,ANOVA,L_2,sub-13_sub-59,0.3144774688398849,31.4%
XGBoost,ANOVA,L_2,sub-35_sub-39,0.6304347826086957,63.0%
XGBoost,ANOVA,L_2,sub-19_sub-39,0.7200689061154177,72.0%
XGBoost,ANOVA,L_2,sub-11_sub-54,0.8110403397027601,81.1%
XGBoost,ANOVA,L_2,sub-30_sub-49,0.9681227863046045,96.8%
MLP_(Neural_Network),PCA,L_2,sub-3_sub-62,0.25566750629722923,25.6%
MLP_(Neural_Network),PCA,L_2,sub-35_sub-50,0.5092213114754098,50.9%
MLP_(Neural_Network),PCA,L_2,sub-35_sub-39,0.5245746691871456,52.5%
MLP_(Neural_Network),PCA,L_2,sub-4_sub-44,0.5718418514946962,57.2%
MLP_(Neural_Network),PCA,L_2,sub-30_sub-49,0.9043683589138135,90.4%
MLP_(Neural_Network),ANOVA,L_2,sub-13_sub-59,0.36145733461169705,36.1%
MLP_(Neural_Network),ANOVA,L_2,sub-18_sub-51,0.6861313868613139,68.6%
MLP_(Neural_Network),ANOVA,L_2,sub-15_sub-41,0.7636986301369864,76.4%
MLP_(Neural_Network),ANOVA,L_2,sub-18_sub-41,0.8181818181818182,81.8%
MLP_(Neural_Network),ANOVA,L_2,sub-8_sub-49,0.9833679833679834,98.3%
XGBoost,PCA,L_2,sub-3_sub-60,0.27071005917159763,27.1%
XGBoost,PCA,L_2,sub-6_sub-49,0.5063694267515924,50.6%
XGBoost,PCA,L_2,sub-6_sub-54,0.5320041972717734,53.2%
XGBoost,PCA,L_2,sub-14_sub-61,0.5789473684210527,57.9%
XGBoost,PCA,L_2,sub-7_sub-49,0.878286270691334,87.8%
