task_id,model_name,label_type,label_value,hyperparams,train_data_path,test_data_path,results_path,fold_id,status,priority,created_at,started_at,completed_at,error_message,worker_id
XGBoost_0_1871,XGBoost,group,classification,"{""n_estimators"": ""100"", ""max_depth"": ""3"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/train_data,/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/test_data,/app/data/ANOVA_L_6_C_Resource_Boosted/ml_results_grid_search/XGBoost/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/task_XGBoost_0_1871,0,completed,1000,2025-11-01T01:25:24.784028,,2025-11-01T01:30:19.096402,,worker_3f7899d9b66214a04de4b7102bd441429c2717e05127c566b3eb9ea5
XGBoost_0_2308,XGBoost,group,classification,"{""n_estimators"": ""100"", ""max_depth"": ""6"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/train_data,/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/test_data,/app/data/ANOVA_L_6_C_Resource_Boosted/ml_results_grid_search/XGBoost/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/task_XGBoost_0_2308,0,completed,1000,2025-11-01T01:25:24.784066,,2025-11-01T01:32:39.033604,,worker_ec4afe7dbb138eb3215700455c96fdf9bfe709e60db5641d49ebb2d4
XGBoost_0_3016,XGBoost,group,classification,"{""n_estimators"": ""100"", ""max_depth"": ""9"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/train_data,/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/test_data,/app/data/ANOVA_L_6_C_Resource_Boosted/ml_results_grid_search/XGBoost/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/task_XGBoost_0_3016,0,completed,1000,2025-11-01T01:25:24.784093,,2025-11-01T01:38:09.677452,,worker_ba21ef680df0350cbc1bd8bd068ad9ba0569c74323124e21df0994d0
MLP_(Neural_Network)_0_1411,MLP (Neural Network),group,classification,"{""hidden_layer_sizes"": [100], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/train_data,/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/test_data,/app/data/ANOVA_L_6_C_Resource_Boosted/ml_results_grid_search/MLP_(Neural_Network)/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/task_MLP_(Neural_Network)_0_1411,0,completed,1000,2025-11-01T01:25:24.784841,,2025-11-01T01:29:02.922132,,worker_f68842e549d193a9827ece415e3d23f7233eb8d8d51b9086dedbd843
MLP_(Neural_Network)_0_6879,MLP (Neural Network),group,classification,"{""hidden_layer_sizes"": [150, 50], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/train_data,/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/test_data,/app/data/ANOVA_L_6_C_Resource_Boosted/ml_results_grid_search/MLP_(Neural_Network)/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/task_MLP_(Neural_Network)_0_6879,0,completed,1000,2025-11-01T01:25:24.784866,,2025-11-01T03:31:19.944204,,worker_ecc35d5048a7d0329c01b5d361c4a9312f757a36a5992d51a793cbb3
MLP_(Neural_Network)_0_3401,MLP (Neural Network),group,classification,"{""hidden_layer_sizes"": [200, 100, 50], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/train_data,/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/test_data,/app/data/ANOVA_L_6_C_Resource_Boosted/ml_results_grid_search/MLP_(Neural_Network)/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/task_MLP_(Neural_Network)_0_3401,0,completed,1000,2025-11-01T01:25:24.784888,,2025-11-01T03:18:27.637213,,worker_6ff4279fbd693a011be3617044a1470d19165fe37fe1cc433eeb5bc8
KNN_0_6092,KNN,group,classification,"{""n_neighbors"": 1, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/train_data,/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/test_data,/app/data/ANOVA_L_6_C_Resource_Boosted/ml_results_grid_search/KNN/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/task_KNN_0_6092,0,completed,1000,2025-11-01T01:25:24.785624,,2025-11-01T01:26:27.318601,,worker_12eea12368ac7882fafce39d03fdc7019df4f30fde2e7d5440bc5626
KNN_0_1930,KNN,group,classification,"{""n_neighbors"": 7, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/train_data,/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/test_data,/app/data/ANOVA_L_6_C_Resource_Boosted/ml_results_grid_search/KNN/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/task_KNN_0_1930,0,completed,1000,2025-11-01T01:25:24.785646,,2025-11-01T01:26:47.614852,,worker_4636b85f966ff7845184b32f2597a03adc55e93adfa521904d35e957
KNN_0_1206,KNN,group,classification,"{""n_neighbors"": 15, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/train_data,/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/test_data,/app/data/ANOVA_L_6_C_Resource_Boosted/ml_results_grid_search/KNN/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/task_KNN_0_1206,0,completed,1000,2025-11-01T01:25:24.785666,,2025-11-01T01:26:34.090459,,worker_3d70c1af841e8f04ebed76c6c22d1e79d9957c9b94d63906546cf3ab
SVM_0_2353,SVM,group,classification,"{""C"": ""0.1"", ""kernel"": ""linear"", ""gamma"": ""auto""}",/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/train_data,/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/test_data,/app/data/ANOVA_L_6_C_Resource_Boosted/ml_results_grid_search/SVM/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/task_SVM_0_2353,0,completed,1000,2025-11-01T01:25:24.786376,,2025-11-01T01:27:43.099959,,worker_ab78a66793e00bf21e1d218420d836a9bc64860492686d46178a91a3
