task_id,model_name,label_type,label_value,hyperparams,train_data_path,test_data_path,results_path,fold_id,status,priority,created_at,started_at,completed_at,error_message,worker_id
XGBoost_0_3914,XGBoost,group,classification,"{""n_estimators"": ""100"", ""max_depth"": ""3"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/ANOVA_W_C/transformed/within_subject_split/train_data,/app/data/ANOVA_W_C/transformed/within_subject_split/test_data,/app/data/ANOVA_W_C/ml_results_grid_search/XGBoost/within_subject_split/task_XGBoost_0_3914,0,completed,1000,2025-11-01T01:25:25.333078,,2025-11-01T01:27:33.236026,,worker_93560b1cf941ba791c07db9c19fa22a509d4794d410f27fe301d0549
XGBoost_0_4403,XGBoost,group,classification,"{""n_estimators"": ""100"", ""max_depth"": ""6"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/ANOVA_W_C/transformed/within_subject_split/train_data,/app/data/ANOVA_W_C/transformed/within_subject_split/test_data,/app/data/ANOVA_W_C/ml_results_grid_search/XGBoost/within_subject_split/task_XGBoost_0_4403,0,completed,1000,2025-11-01T01:25:25.333124,,2025-11-01T01:31:48.585999,,worker_4a7d35ef2f52d9205960873f743a26b3255f6a37d2776c55a7147640
XGBoost_0_0870,XGBoost,group,classification,"{""n_estimators"": ""100"", ""max_depth"": ""9"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/ANOVA_W_C/transformed/within_subject_split/train_data,/app/data/ANOVA_W_C/transformed/within_subject_split/test_data,/app/data/ANOVA_W_C/ml_results_grid_search/XGBoost/within_subject_split/task_XGBoost_0_0870,0,completed,1000,2025-11-01T01:25:25.333153,,2025-11-01T01:33:38.699107,,worker_403bbcbe9fa0af70f11538b7a70cb7032229a11e10cfe4cf692ec246
MLP_(Neural_Network)_0_3152,MLP (Neural Network),group,classification,"{""hidden_layer_sizes"": [100], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/ANOVA_W_C/transformed/within_subject_split/train_data,/app/data/ANOVA_W_C/transformed/within_subject_split/test_data,/app/data/ANOVA_W_C/ml_results_grid_search/MLP_(Neural_Network)/within_subject_split/task_MLP_(Neural_Network)_0_3152,0,completed,1000,2025-11-01T01:25:25.333207,,2025-11-01T01:26:10.795896,,worker_9ffa7df47877fb75d66e90ba55c0213cfe462f3dd4e93aa132dbb96f
MLP_(Neural_Network)_0_1125,MLP (Neural Network),group,classification,"{""hidden_layer_sizes"": [150, 50], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/ANOVA_W_C/transformed/within_subject_split/train_data,/app/data/ANOVA_W_C/transformed/within_subject_split/test_data,/app/data/ANOVA_W_C/ml_results_grid_search/MLP_(Neural_Network)/within_subject_split/task_MLP_(Neural_Network)_0_1125,0,completed,1000,2025-11-01T01:25:25.333232,,2025-11-01T01:49:08.568663,,worker_498303a18acb926dda6a71e1cdd4a583dc3a374fd0af1efcad6981c9
MLP_(Neural_Network)_0_1851,MLP (Neural Network),group,classification,"{""hidden_layer_sizes"": [200, 100, 50], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/ANOVA_W_C/transformed/within_subject_split/train_data,/app/data/ANOVA_W_C/transformed/within_subject_split/test_data,/app/data/ANOVA_W_C/ml_results_grid_search/MLP_(Neural_Network)/within_subject_split/task_MLP_(Neural_Network)_0_1851,0,completed,1000,2025-11-01T01:25:25.333255,,2025-11-01T01:49:58.981652,,worker_9b99f17e6ad3107d9f38150e5c54653a569b7ec354224815c27583cf
KNN_0_4522,KNN,group,classification,"{""n_neighbors"": 1, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/ANOVA_W_C/transformed/within_subject_split/train_data,/app/data/ANOVA_W_C/transformed/within_subject_split/test_data,/app/data/ANOVA_W_C/ml_results_grid_search/KNN/within_subject_split/task_KNN_0_4522,0,completed,1000,2025-11-01T01:25:25.333428,,2025-11-01T01:25:59.236536,,worker_d58c470eaf3dd44c67b785f34478ce4641ea302d4899078fd79b15fc
KNN_0_1267,KNN,group,classification,"{""n_neighbors"": 7, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/ANOVA_W_C/transformed/within_subject_split/train_data,/app/data/ANOVA_W_C/transformed/within_subject_split/test_data,/app/data/ANOVA_W_C/ml_results_grid_search/KNN/within_subject_split/task_KNN_0_1267,0,completed,1000,2025-11-01T01:25:25.333453,,2025-11-01T01:26:01.536246,,worker_d07b2c678999e2bed7610e137f6d75a8f868ed144b06a17bd65a01de
KNN_0_5920,KNN,group,classification,"{""n_neighbors"": 15, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/ANOVA_W_C/transformed/within_subject_split/train_data,/app/data/ANOVA_W_C/transformed/within_subject_split/test_data,/app/data/ANOVA_W_C/ml_results_grid_search/KNN/within_subject_split/task_KNN_0_5920,0,completed,1000,2025-11-01T01:25:25.333476,,2025-11-01T01:25:48.437891,,worker_f86fe87044d481803138b19ca17eb0d9deea2bb3f7c38a2893711573
SVM_0_9865,SVM,group,classification,"{""C"": ""0.1"", ""kernel"": ""linear"", ""gamma"": ""auto""}",/app/data/ANOVA_W_C/transformed/within_subject_split/train_data,/app/data/ANOVA_W_C/transformed/within_subject_split/test_data,/app/data/ANOVA_W_C/ml_results_grid_search/SVM/within_subject_split/task_SVM_0_9865,0,completed,1000,2025-11-01T01:25:25.333515,,2025-11-01T01:27:01.018995,,worker_658cbfa8d5cc5b2ff0d60f31a7270532e0b2ee865b6e453bc96320a3
SVM_0_3774,SVM,group,classification,"{""C"": ""0.1"", ""kernel"": ""rbf"", ""gamma"": ""auto""}",/app/data/ANOVA_W_C/transformed/within_subject_split/train_data,/app/data/ANOVA_W_C/transformed/within_subject_split/test_data,/app/data/ANOVA_W_C/ml_results_grid_search/SVM/within_subject_split/task_SVM_0_3774,0,completed,1000,2025-11-01T01:25:25.333539,,2025-11-01T01:28:37.025285,,worker_87bf1b58a222cd3fb1b04888b414c215760184fc75244e429fc3111f
SVM_0_7882,SVM,group,classification,"{""C"": ""0.1"", ""kernel"": ""poly"", ""gamma"": ""auto""}",/app/data/ANOVA_W_C/transformed/within_subject_split/train_data,/app/data/ANOVA_W_C/transformed/within_subject_split/test_data,/app/data/ANOVA_W_C/ml_results_grid_search/SVM/within_subject_split/task_SVM_0_7882,0,completed,1000,2025-11-01T01:25:25.333559,,2025-11-01T01:29:02.621035,,worker_4dfee9c50dd7cd98132a6a476053f8d349df44c1a35d4f739c10a251
