task_id,model_name,label_type,label_value,hyperparams,train_data_path,test_data_path,results_path,fold_id,status,priority,created_at,started_at,completed_at,error_message,worker_id
XGBoost_0_8896,XGBoost,subject_id,SubjectID,"{""n_estimators"": ""100"", ""max_depth"": ""3"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/ANOVA_W_F/transformed/within_subject_split/train_data,/app/data/ANOVA_W_F/transformed/within_subject_split/test_data,/app/data/ANOVA_W_F/ml_results_grid_search/XGBoost/within_subject_split/task_XGBoost_0_8896,0,completed,1000,2025-11-01T01:25:24.754154,,2025-11-01T02:17:46.399570,,worker_87d15ac571318474bbf40abce661abce4f1464207fcb101d1aca4a86
XGBoost_0_5199,XGBoost,subject_id,SubjectID,"{""n_estimators"": ""100"", ""max_depth"": ""6"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/ANOVA_W_F/transformed/within_subject_split/train_data,/app/data/ANOVA_W_F/transformed/within_subject_split/test_data,/app/data/ANOVA_W_F/ml_results_grid_search/XGBoost/within_subject_split/task_XGBoost_0_5199,0,completed,1000,2025-11-01T01:25:24.754190,,2025-11-01T02:40:53.078262,,worker_0ecbbdab63d27777bd161a0e1fc38495c25fa78e9e60ef369555067b
XGBoost_0_8664,XGBoost,subject_id,SubjectID,"{""n_estimators"": ""100"", ""max_depth"": ""9"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/ANOVA_W_F/transformed/within_subject_split/train_data,/app/data/ANOVA_W_F/transformed/within_subject_split/test_data,/app/data/ANOVA_W_F/ml_results_grid_search/XGBoost/within_subject_split/task_XGBoost_0_8664,0,completed,1000,2025-11-01T01:25:24.754218,,2025-11-01T02:42:48.149405,,worker_e86de281336dfd795300f7f29e56c85ae8df0a3f9a4604c8f90449f0
MLP_(Neural_Network)_0_6056,MLP (Neural Network),subject_id,SubjectID,"{""hidden_layer_sizes"": [100], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/ANOVA_W_F/transformed/within_subject_split/train_data,/app/data/ANOVA_W_F/transformed/within_subject_split/test_data,/app/data/ANOVA_W_F/ml_results_grid_search/MLP_(Neural_Network)/within_subject_split/task_MLP_(Neural_Network)_0_6056,0,completed,1000,2025-11-01T01:25:24.754262,,2025-11-01T01:29:58.266730,,worker_562b25a943de454c5c5000ddf8b681e3c4a047955cfa390d09a75b14
MLP_(Neural_Network)_0_0011,MLP (Neural Network),subject_id,SubjectID,"{""hidden_layer_sizes"": [150, 50], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/ANOVA_W_F/transformed/within_subject_split/train_data,/app/data/ANOVA_W_F/transformed/within_subject_split/test_data,/app/data/ANOVA_W_F/ml_results_grid_search/MLP_(Neural_Network)/within_subject_split/task_MLP_(Neural_Network)_0_0011,0,completed,1000,2025-11-01T01:25:24.754287,,2025-11-01T01:37:21.931350,,worker_e404a37a78fa11fd5809d0642e8a59c099fa6d08efa58a8bc97b8e03
MLP_(Neural_Network)_0_1762,MLP (Neural Network),subject_id,SubjectID,"{""hidden_layer_sizes"": [200, 100, 50], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/ANOVA_W_F/transformed/within_subject_split/train_data,/app/data/ANOVA_W_F/transformed/within_subject_split/test_data,/app/data/ANOVA_W_F/ml_results_grid_search/MLP_(Neural_Network)/within_subject_split/task_MLP_(Neural_Network)_0_1762,0,completed,1000,2025-11-01T01:25:24.754309,,2025-11-01T02:33:57.765626,,worker_87d15ac571318474bbf40abce661abce4f1464207fcb101d1aca4a86
KNN_0_4935,KNN,subject_id,SubjectID,"{""n_neighbors"": 1, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/ANOVA_W_F/transformed/within_subject_split/train_data,/app/data/ANOVA_W_F/transformed/within_subject_split/test_data,/app/data/ANOVA_W_F/ml_results_grid_search/KNN/within_subject_split/task_KNN_0_4935,0,completed,1000,2025-11-01T01:25:24.754345,,2025-11-01T02:40:55.921794,,worker_0ecbbdab63d27777bd161a0e1fc38495c25fa78e9e60ef369555067b
KNN_0_6333,KNN,subject_id,SubjectID,"{""n_neighbors"": 7, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/ANOVA_W_F/transformed/within_subject_split/train_data,/app/data/ANOVA_W_F/transformed/within_subject_split/test_data,/app/data/ANOVA_W_F/ml_results_grid_search/KNN/within_subject_split/task_KNN_0_6333,0,completed,1000,2025-11-01T01:25:24.754367,,2025-11-01T02:42:50.636703,,worker_e86de281336dfd795300f7f29e56c85ae8df0a3f9a4604c8f90449f0
KNN_0_0784,KNN,subject_id,SubjectID,"{""n_neighbors"": 15, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/ANOVA_W_F/transformed/within_subject_split/train_data,/app/data/ANOVA_W_F/transformed/within_subject_split/test_data,/app/data/ANOVA_W_F/ml_results_grid_search/KNN/within_subject_split/task_KNN_0_0784,0,completed,1000,2025-11-01T01:25:24.754387,,2025-11-01T01:30:10.067612,,worker_562b25a943de454c5c5000ddf8b681e3c4a047955cfa390d09a75b14
SVM_0_5353,SVM,subject_id,SubjectID,"{""C"": ""0.1"", ""kernel"": ""linear"", ""gamma"": ""auto""}",/app/data/ANOVA_W_F/transformed/within_subject_split/train_data,/app/data/ANOVA_W_F/transformed/within_subject_split/test_data,/app/data/ANOVA_W_F/ml_results_grid_search/SVM/within_subject_split/task_SVM_0_5353,0,completed,1000,2025-11-01T01:25:24.754422,,2025-11-01T01:40:26.942657,,worker_e404a37a78fa11fd5809d0642e8a59c099fa6d08efa58a8bc97b8e03
