task_id,model_name,label_type,label_value,hyperparams,train_data_path,test_data_path,results_path,fold_id,status,priority,created_at,started_at,completed_at,error_message,worker_id
XGBoost_0_1433,XGBoost,group,classification,"{""n_estimators"": ""100"", ""max_depth"": ""3"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/PCA_L_6_C/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/train_data,/app/data/PCA_L_6_C/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/test_data,/app/data/PCA_L_6_C/ml_results_grid_search/XGBoost/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/task_XGBoost_0_1433,0,completed,1000,2025-11-01T12:37:18.954905,,2025-11-01T12:43:22.057218,,worker_14b96648cfbcb3995486756922e9bab2d59589a08dd66423e3d52d93
XGBoost_0_3645,XGBoost,group,classification,"{""n_estimators"": ""100"", ""max_depth"": ""6"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/PCA_L_6_C/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/train_data,/app/data/PCA_L_6_C/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/test_data,/app/data/PCA_L_6_C/ml_results_grid_search/XGBoost/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/task_XGBoost_0_3645,0,completed,1000,2025-11-01T12:37:18.954952,,2025-11-01T12:39:10.399864,,worker_45148d18c940c1126b99e1962f1f4e7fe213471e5368e7179d766295
XGBoost_0_9435,XGBoost,group,classification,"{""n_estimators"": ""100"", ""max_depth"": ""9"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/PCA_L_6_C/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/train_data,/app/data/PCA_L_6_C/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/test_data,/app/data/PCA_L_6_C/ml_results_grid_search/XGBoost/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/task_XGBoost_0_9435,0,completed,1000,2025-11-01T12:37:18.954984,,2025-11-01T12:51:31.394394,,worker_37df34d5105666e6d651c46c46a37bfbb320b4e1779f2c9adf734546
MLP_(Neural_Network)_0_3213,MLP (Neural Network),group,classification,"{""hidden_layer_sizes"": [100], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/PCA_L_6_C/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/train_data,/app/data/PCA_L_6_C/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/test_data,/app/data/PCA_L_6_C/ml_results_grid_search/MLP_(Neural_Network)/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/task_MLP_(Neural_Network)_0_3213,0,completed,1000,2025-11-01T12:37:18.955744,,2025-11-01T12:37:52.710700,,worker_f987dbdab13dde6fbf685aba4fcad16e1428edb07b674695f8c714ba
MLP_(Neural_Network)_0_4646,MLP (Neural Network),group,classification,"{""hidden_layer_sizes"": [150, 50], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/PCA_L_6_C/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/train_data,/app/data/PCA_L_6_C/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/test_data,/app/data/PCA_L_6_C/ml_results_grid_search/MLP_(Neural_Network)/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/task_MLP_(Neural_Network)_0_4646,0,completed,1000,2025-11-01T12:37:18.955769,,2025-11-01T12:39:02.732414,,worker_9f50cb83a680810c1a1398b2d83a7b1776d9b35866b6979332374f48
MLP_(Neural_Network)_0_8952,MLP (Neural Network),group,classification,"{""hidden_layer_sizes"": [200, 100, 50], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/PCA_L_6_C/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/train_data,/app/data/PCA_L_6_C/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/test_data,/app/data/PCA_L_6_C/ml_results_grid_search/MLP_(Neural_Network)/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/task_MLP_(Neural_Network)_0_8952,0,completed,1000,2025-11-01T12:37:18.955791,,2025-11-01T13:52:43.740740,,worker_79e68c460b9e6e4ac7981329c8b267c6ba34921ed3e46614f7b59357
KNN_0_4112,KNN,group,classification,"{""n_neighbors"": 1, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/PCA_L_6_C/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/train_data,/app/data/PCA_L_6_C/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/test_data,/app/data/PCA_L_6_C/ml_results_grid_search/KNN/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/task_KNN_0_4112,0,completed,1000,2025-11-01T12:37:18.956533,,2025-11-01T12:38:34.689647,,worker_33809360378eaf3e1796a0a9d47ba1d420b41f1eb46bb552dd604ceb
KNN_0_7246,KNN,group,classification,"{""n_neighbors"": 7, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/PCA_L_6_C/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/train_data,/app/data/PCA_L_6_C/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/test_data,/app/data/PCA_L_6_C/ml_results_grid_search/KNN/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/task_KNN_0_7246,0,completed,1000,2025-11-01T12:37:18.956554,,2025-11-01T12:38:37.750786,,worker_3cc164a7873323c2e9e4d245d304a8ebb29889975bb13f69b7208e13
KNN_0_4352,KNN,group,classification,"{""n_neighbors"": 15, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/PCA_L_6_C/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/train_data,/app/data/PCA_L_6_C/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/test_data,/app/data/PCA_L_6_C/ml_results_grid_search/KNN/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/task_KNN_0_4352,0,completed,1000,2025-11-01T12:37:18.956575,,2025-11-01T12:38:35.874562,,worker_8b4360c4987e799ad0e0dcfd30836920655a7ec64fcfe4b00d9ff060
SVM_0_8207,SVM,group,classification,"{""C"": ""0.1"", ""kernel"": ""linear"", ""gamma"": ""auto""}",/app/data/PCA_L_6_C/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/train_data,/app/data/PCA_L_6_C/transformed/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/test_data,/app/data/PCA_L_6_C/ml_results_grid_search/SVM/sub-10_sub-11_sub-12_sub-46_sub-47_sub-48/task_SVM_0_8207,0,completed,1000,2025-11-01T12:37:18.957291,,2025-11-01T12:38:33.391303,,worker_ea7e3c5fbba6eb0ed8d7587103fd206efaf46c2c3872111765b5d30b
