task_id,model_name,label_type,label_value,hyperparams,train_data_path,test_data_path,results_path,fold_id,status,priority,created_at,started_at,completed_at,error_message,worker_id
XGBoost_0_3042,XGBoost,group,classification,"{""n_estimators"": ""100"", ""max_depth"": ""3"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/PCA_W_C/transformed/within_subject_split/train_data,/app/data/PCA_W_C/transformed/within_subject_split/test_data,/app/data/PCA_W_C/ml_results_grid_search/XGBoost/within_subject_split/task_XGBoost_0_3042,0,completed,1000,2025-11-01T01:18:50.251937,,2025-11-01T01:55:16.000984,,worker_b4f40a99fd2656d81d796e7a72fa76bcd8922ad6e7d8da261651dde3
XGBoost_0_4030,XGBoost,group,classification,"{""n_estimators"": ""100"", ""max_depth"": ""6"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/PCA_W_C/transformed/within_subject_split/train_data,/app/data/PCA_W_C/transformed/within_subject_split/test_data,/app/data/PCA_W_C/ml_results_grid_search/XGBoost/within_subject_split/task_XGBoost_0_4030,0,completed,1000,2025-11-01T01:18:50.251978,,2025-11-01T02:31:54.603296,,worker_9edb5e7de683f9e8acbd9e878d2e3cdf0a13d089f1313148459326e2
XGBoost_0_8171,XGBoost,group,classification,"{""n_estimators"": ""100"", ""max_depth"": ""9"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/PCA_W_C/transformed/within_subject_split/train_data,/app/data/PCA_W_C/transformed/within_subject_split/test_data,/app/data/PCA_W_C/ml_results_grid_search/XGBoost/within_subject_split/task_XGBoost_0_8171,0,completed,1000,2025-11-01T01:18:50.252005,,2025-11-01T02:31:57.444364,,worker_feaa3d34b9b83bd958a772cd8c49ef272feb8cf0b506b7f5d3e1d294
MLP_(Neural_Network)_0_8110,MLP (Neural Network),group,classification,"{""hidden_layer_sizes"": [100], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/PCA_W_C/transformed/within_subject_split/train_data,/app/data/PCA_W_C/transformed/within_subject_split/test_data,/app/data/PCA_W_C/ml_results_grid_search/MLP_(Neural_Network)/within_subject_split/task_MLP_(Neural_Network)_0_8110,0,completed,1000,2025-11-01T01:18:50.252049,,2025-11-01T01:20:10.341716,,worker_0da33a03445cbf6c5894ab24fae5b0dff2b4278a53911c93e07901ca
MLP_(Neural_Network)_0_4481,MLP (Neural Network),group,classification,"{""hidden_layer_sizes"": [150, 50], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/PCA_W_C/transformed/within_subject_split/train_data,/app/data/PCA_W_C/transformed/within_subject_split/test_data,/app/data/PCA_W_C/ml_results_grid_search/MLP_(Neural_Network)/within_subject_split/task_MLP_(Neural_Network)_0_4481,0,completed,1000,2025-11-01T01:18:50.252073,,2025-11-01T01:20:47.797738,,worker_527ee89815df22831ff06b45aaaa41f1f93b542db3f3c7eb8ea54693
MLP_(Neural_Network)_0_5081,MLP (Neural Network),group,classification,"{""hidden_layer_sizes"": [200, 100, 50], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/PCA_W_C/transformed/within_subject_split/train_data,/app/data/PCA_W_C/transformed/within_subject_split/test_data,/app/data/PCA_W_C/ml_results_grid_search/MLP_(Neural_Network)/within_subject_split/task_MLP_(Neural_Network)_0_5081,0,completed,1000,2025-11-01T01:18:50.252099,,2025-11-01T01:37:56.587355,,worker_339cb94a5dd8fc75e3521b6257f9f3f341e10f233d5126c057de60bc
KNN_0_6426,KNN,group,classification,"{""n_neighbors"": 1, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/PCA_W_C/transformed/within_subject_split/train_data,/app/data/PCA_W_C/transformed/within_subject_split/test_data,/app/data/PCA_W_C/ml_results_grid_search/KNN/within_subject_split/task_KNN_0_6426,0,completed,1000,2025-11-01T01:18:50.252211,,2025-11-01T01:19:21.527125,,worker_027c734d3ea9b868eeb629c1f070d7d66a3d1044be7c435f38ac280b
KNN_0_6091,KNN,group,classification,"{""n_neighbors"": 7, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/PCA_W_C/transformed/within_subject_split/train_data,/app/data/PCA_W_C/transformed/within_subject_split/test_data,/app/data/PCA_W_C/ml_results_grid_search/KNN/within_subject_split/task_KNN_0_6091,0,completed,1000,2025-11-01T01:18:50.252234,,2025-11-01T01:19:12.469775,,worker_b022c01d1f6fc21f7f4dd7e5fa4e11cf3368006f9cd54bdbd721f792
KNN_0_2824,KNN,group,classification,"{""n_neighbors"": 15, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/PCA_W_C/transformed/within_subject_split/train_data,/app/data/PCA_W_C/transformed/within_subject_split/test_data,/app/data/PCA_W_C/ml_results_grid_search/KNN/within_subject_split/task_KNN_0_2824,0,completed,1000,2025-11-01T01:18:50.252257,,2025-11-01T01:19:28.687880,,worker_d8d1110763035397769603ec05c1833069e1ab9616d5139e0ff16a4f
SVM_0_7693,SVM,group,classification,"{""C"": ""0.1"", ""kernel"": ""linear"", ""gamma"": ""auto""}",/app/data/PCA_W_C/transformed/within_subject_split/train_data,/app/data/PCA_W_C/transformed/within_subject_split/test_data,/app/data/PCA_W_C/ml_results_grid_search/SVM/within_subject_split/task_SVM_0_7693,0,completed,1000,2025-11-01T01:18:50.252293,,2025-11-01T01:20:32.150306,,worker_95abab87cb0298574cbff5e4851e142d6c6eaf28d31de01b631feb3f
