task_id,model_name,label_type,label_value,hyperparams,train_data_path,test_data_path,results_path,fold_id,status,priority,created_at,started_at,completed_at,error_message,worker_id
XGBoost_0_1915,XGBoost,group,classification,"{""n_estimators"": ""100"", ""max_depth"": ""3"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/ANOVA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/train_data,/app/data/ANOVA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/test_data,/app/data/ANOVA_L_2_C_Resource_Boosted/ml_results_grid_search/XGBoost/sub-11_sub-54/task_XGBoost_0_1915,0,completed,1000,2025-11-01T23:30:18.580299,,2025-11-01T23:36:10.952905,,worker_87c4383dab53810372467602a083eb819ce4ec7c267619a1c3affab7
XGBoost_0_8809,XGBoost,group,classification,"{""n_estimators"": ""100"", ""max_depth"": ""6"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/ANOVA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/train_data,/app/data/ANOVA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/test_data,/app/data/ANOVA_L_2_C_Resource_Boosted/ml_results_grid_search/XGBoost/sub-11_sub-54/task_XGBoost_0_8809,0,completed,1000,2025-11-01T23:30:18.580340,,2025-11-01T23:40:28.118260,,worker_df7652a11184d5eb9e230c37f63d9255fc8711fac8185d270a25f597
XGBoost_0_6323,XGBoost,group,classification,"{""n_estimators"": ""100"", ""max_depth"": ""9"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/ANOVA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/train_data,/app/data/ANOVA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/test_data,/app/data/ANOVA_L_2_C_Resource_Boosted/ml_results_grid_search/XGBoost/sub-11_sub-54/task_XGBoost_0_6323,0,completed,1000,2025-11-01T23:30:18.580367,,2025-11-01T23:45:08.599153,,worker_65e19a6429e7aa385039e52f7b4f91f0633523cced4fb6eef449b5b6
MLP_(Neural_Network)_0_0811,MLP (Neural Network),group,classification,"{""hidden_layer_sizes"": [100], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/ANOVA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/train_data,/app/data/ANOVA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/test_data,/app/data/ANOVA_L_2_C_Resource_Boosted/ml_results_grid_search/MLP_(Neural_Network)/sub-11_sub-54/task_MLP_(Neural_Network)_0_0811,0,completed,1000,2025-11-01T23:30:18.583471,,2025-11-02T00:22:38.244720,,worker_7c1a9ac101439b0bd5e960aa8e089f97d8a9785aa104d24c6dda16d3
MLP_(Neural_Network)_0_0881,MLP (Neural Network),group,classification,"{""hidden_layer_sizes"": [150, 50], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/ANOVA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/train_data,/app/data/ANOVA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/test_data,/app/data/ANOVA_L_2_C_Resource_Boosted/ml_results_grid_search/MLP_(Neural_Network)/sub-11_sub-54/task_MLP_(Neural_Network)_0_0881,0,completed,1000,2025-11-01T23:30:18.583494,,2025-11-02T02:06:11.660501,,worker_406cc91b3236390c22f9af8c452f667fe3255ff9f32bc788a000275b
MLP_(Neural_Network)_0_5240,MLP (Neural Network),group,classification,"{""hidden_layer_sizes"": [200, 100, 50], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/ANOVA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/train_data,/app/data/ANOVA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/test_data,/app/data/ANOVA_L_2_C_Resource_Boosted/ml_results_grid_search/MLP_(Neural_Network)/sub-11_sub-54/task_MLP_(Neural_Network)_0_5240,0,completed,1000,2025-11-01T23:30:18.583516,,2025-11-02T04:27:35.003392,,worker_362fbd31862bec92c79509a88fd8e756bd97c113b38d587ac16c0f15
KNN_0_5927,KNN,group,classification,"{""n_neighbors"": 1, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/ANOVA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/train_data,/app/data/ANOVA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/test_data,/app/data/ANOVA_L_2_C_Resource_Boosted/ml_results_grid_search/KNN/sub-11_sub-54/task_KNN_0_5927,0,completed,1000,2025-11-01T23:30:18.586715,,2025-11-01T23:30:59.289705,,worker_30822af05ca1ea041160d037adea3203e602d7d8dbdf45717af10b38
KNN_0_3824,KNN,group,classification,"{""n_neighbors"": 7, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/ANOVA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/train_data,/app/data/ANOVA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/test_data,/app/data/ANOVA_L_2_C_Resource_Boosted/ml_results_grid_search/KNN/sub-11_sub-54/task_KNN_0_3824,0,completed,1000,2025-11-01T23:30:18.586736,,2025-11-01T23:30:51.055490,,worker_75a8f47ecb2f35755476e4fc6003087b9faf197c376c1df9f5ad5de3
KNN_0_3889,KNN,group,classification,"{""n_neighbors"": 15, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/ANOVA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/train_data,/app/data/ANOVA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/test_data,/app/data/ANOVA_L_2_C_Resource_Boosted/ml_results_grid_search/KNN/sub-11_sub-54/task_KNN_0_3889,0,completed,1000,2025-11-01T23:30:18.586756,,2025-11-01T23:30:49.202263,,worker_8e3b7aba955679dbbc0bccd5189b066b2f4a415d919b99e64f4483dd
SVM_0_6284,SVM,group,classification,"{""C"": ""0.1"", ""kernel"": ""linear"", ""gamma"": ""auto""}",/app/data/ANOVA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/train_data,/app/data/ANOVA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/test_data,/app/data/ANOVA_L_2_C_Resource_Boosted/ml_results_grid_search/SVM/sub-11_sub-54/task_SVM_0_6284,0,completed,1000,2025-11-01T23:30:18.589844,,2025-11-01T23:32:46.852924,,worker_741b8bf4119cc96127cd80d9bc722242f33b3e54674bee399b1821dc
