task_id,model_name,label_type,label_value,hyperparams,train_data_path,test_data_path,results_path,fold_id,status,priority,created_at,started_at,completed_at,error_message,worker_id
XGBoost_0_7132,XGBoost,group,classification,"{""n_estimators"": ""100"", ""max_depth"": ""3"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/train_data,/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/test_data,/app/data/ANOVA_L_6_C_Resource_Boosted/ml_results_grid_search/XGBoost/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/task_XGBoost_0_7132,0,completed,1000,2025-11-01T23:34:14.984976,,2025-11-01T23:41:32.083397,,worker_d3fd1c1a7b2bb9ac51bbfe50b4d88cefbf95395c3780dd842d880831
XGBoost_0_5417,XGBoost,group,classification,"{""n_estimators"": ""100"", ""max_depth"": ""6"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/train_data,/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/test_data,/app/data/ANOVA_L_6_C_Resource_Boosted/ml_results_grid_search/XGBoost/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/task_XGBoost_0_5417,0,completed,1000,2025-11-01T23:34:14.985017,,2025-11-01T23:47:23.577637,,worker_8c02cd99a09c7452a4db28451d0b975a91758c169e12a407827d7514
XGBoost_0_3537,XGBoost,group,classification,"{""n_estimators"": ""100"", ""max_depth"": ""9"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/train_data,/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/test_data,/app/data/ANOVA_L_6_C_Resource_Boosted/ml_results_grid_search/XGBoost/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/task_XGBoost_0_3537,0,completed,1000,2025-11-01T23:34:14.985044,,2025-11-01T23:52:38.877449,,worker_e889c56c83aca361944eb9e883b9c05023512a8082e2a7391ad70920
MLP_(Neural_Network)_0_6123,MLP (Neural Network),group,classification,"{""hidden_layer_sizes"": [100], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/train_data,/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/test_data,/app/data/ANOVA_L_6_C_Resource_Boosted/ml_results_grid_search/MLP_(Neural_Network)/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/task_MLP_(Neural_Network)_0_6123,0,completed,1000,2025-11-01T23:34:14.988402,,2025-11-01T23:53:09.850621,,worker_58508966d2305b6a9465d3b1f35acb726223c6a163a4923764e239dd
MLP_(Neural_Network)_0_6858,MLP (Neural Network),group,classification,"{""hidden_layer_sizes"": [150, 50], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/train_data,/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/test_data,/app/data/ANOVA_L_6_C_Resource_Boosted/ml_results_grid_search/MLP_(Neural_Network)/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/task_MLP_(Neural_Network)_0_6858,0,completed,1000,2025-11-01T23:34:14.988425,,2025-11-02T01:33:10.434183,,worker_b5d886f812834cd0f24fbe30e22975088babb87c558a963d80d90935
MLP_(Neural_Network)_0_7568,MLP (Neural Network),group,classification,"{""hidden_layer_sizes"": [200, 100, 50], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/train_data,/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/test_data,/app/data/ANOVA_L_6_C_Resource_Boosted/ml_results_grid_search/MLP_(Neural_Network)/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/task_MLP_(Neural_Network)_0_7568,0,completed,1000,2025-11-01T23:34:14.988448,,2025-11-02T04:31:03.985858,,worker_d567b2d1c2bdc526483a84049f51253ec98ad8f0a8a5c5fe78b0160f
KNN_0_2825,KNN,group,classification,"{""n_neighbors"": 1, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/train_data,/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/test_data,/app/data/ANOVA_L_6_C_Resource_Boosted/ml_results_grid_search/KNN/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/task_KNN_0_2825,0,completed,1000,2025-11-01T23:34:14.991610,,2025-11-01T23:34:56.040836,,worker_4b31da931604c440b4a855a9d6337ba8fd0192dc71a1ce94219e86c0
KNN_0_9928,KNN,group,classification,"{""n_neighbors"": 7, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/train_data,/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/test_data,/app/data/ANOVA_L_6_C_Resource_Boosted/ml_results_grid_search/KNN/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/task_KNN_0_9928,0,completed,1000,2025-11-01T23:34:14.991634,,2025-11-01T23:34:49.971277,,worker_1c30d618a35468f978c660a1d22b91a5cb0f45605bf7bb8ceb4bce16
KNN_0_0124,KNN,group,classification,"{""n_neighbors"": 15, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/train_data,/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/test_data,/app/data/ANOVA_L_6_C_Resource_Boosted/ml_results_grid_search/KNN/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/task_KNN_0_0124,0,completed,1000,2025-11-01T23:34:14.991655,,2025-11-01T23:34:58.317339,,worker_4120d933bad341a369b83eae1c93613da7ab782b084614622de69a4e
SVM_0_8446,SVM,group,classification,"{""C"": ""0.1"", ""kernel"": ""linear"", ""gamma"": ""auto""}",/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/train_data,/app/data/ANOVA_L_6_C_Resource_Boosted/transformed/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/test_data,/app/data/ANOVA_L_6_C_Resource_Boosted/ml_results_grid_search/SVM/sub-10_sub-17_sub-30_sub-41_sub-44_sub-60/task_SVM_0_8446,0,completed,1000,2025-11-01T23:34:14.994713,,2025-11-01T23:36:29.582707,,worker_ebea981974a2f1b92e2ad91148e909e737ad2fd911d48b943d0aaafc
