task_id,model_name,label_type,label_value,hyperparams,train_data_path,test_data_path,results_path,fold_id,status,priority,created_at,started_at,completed_at,error_message,worker_id
XGBoost_0_4735,XGBoost,group,classification,"{""n_estimators"": ""100"", ""max_depth"": ""3"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/PCA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/train_data,/app/data/PCA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/test_data,/app/data/PCA_L_2_C_Resource_Boosted/ml_results_grid_search/XGBoost/sub-11_sub-54/task_XGBoost_0_4735,0,completed,1000,2025-11-01T21:55:18.304447,,2025-11-01T22:03:17.020388,,worker_8351408ab5ac6d7ec0ddef4ab6d6d7258c4be6f3ba76699a89134a3e
XGBoost_0_7969,XGBoost,group,classification,"{""n_estimators"": ""100"", ""max_depth"": ""6"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/PCA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/train_data,/app/data/PCA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/test_data,/app/data/PCA_L_2_C_Resource_Boosted/ml_results_grid_search/XGBoost/sub-11_sub-54/task_XGBoost_0_7969,0,completed,1000,2025-11-01T21:55:18.304492,,2025-11-01T22:11:44.633336,,worker_f812cb893bddd27270feb9cbcfcf80f8b850674f9ed4f017c6699ca9
XGBoost_0_3312,XGBoost,group,classification,"{""n_estimators"": ""100"", ""max_depth"": ""9"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/PCA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/train_data,/app/data/PCA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/test_data,/app/data/PCA_L_2_C_Resource_Boosted/ml_results_grid_search/XGBoost/sub-11_sub-54/task_XGBoost_0_3312,0,completed,1000,2025-11-01T21:55:18.304519,,2025-11-01T22:07:35.252240,,worker_bd64aa478045278c35d191d280e27e7663f6a2d271322ae514fa6765
MLP_(Neural_Network)_0_8410,MLP (Neural Network),group,classification,"{""hidden_layer_sizes"": [100], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/PCA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/train_data,/app/data/PCA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/test_data,/app/data/PCA_L_2_C_Resource_Boosted/ml_results_grid_search/MLP_(Neural_Network)/sub-11_sub-54/task_MLP_(Neural_Network)_0_8410,0,completed,1000,2025-11-01T21:55:18.307592,,2025-11-01T21:56:11.002928,,worker_ecf8fd858b66b032af1ca7e3af6682df65fb77b7e8bc47c0e0e2ab29
MLP_(Neural_Network)_0_2262,MLP (Neural Network),group,classification,"{""hidden_layer_sizes"": [150, 50], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/PCA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/train_data,/app/data/PCA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/test_data,/app/data/PCA_L_2_C_Resource_Boosted/ml_results_grid_search/MLP_(Neural_Network)/sub-11_sub-54/task_MLP_(Neural_Network)_0_2262,0,completed,1000,2025-11-01T21:55:18.307614,,2025-11-01T22:51:03.385163,,worker_088f5273be9e00bf697658f0448b5f1022c17ea79eced88d40cde48f
MLP_(Neural_Network)_0_9455,MLP (Neural Network),group,classification,"{""hidden_layer_sizes"": [200, 100, 50], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/PCA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/train_data,/app/data/PCA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/test_data,/app/data/PCA_L_2_C_Resource_Boosted/ml_results_grid_search/MLP_(Neural_Network)/sub-11_sub-54/task_MLP_(Neural_Network)_0_9455,0,completed,1000,2025-11-01T21:55:18.307636,,2025-11-02T00:31:01.612651,,worker_737fbcc58e7c764e53f817a647e440d5fe5dced16a37bfcb9ace52d2
KNN_0_6398,KNN,group,classification,"{""n_neighbors"": 1, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/PCA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/train_data,/app/data/PCA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/test_data,/app/data/PCA_L_2_C_Resource_Boosted/ml_results_grid_search/KNN/sub-11_sub-54/task_KNN_0_6398,0,completed,1000,2025-11-01T21:55:18.310654,,2025-11-01T21:55:45.417041,,worker_8ce9bfe5e25b70100942b7bacb8b3ed55e9830177b54363f812e0d4d
KNN_0_7516,KNN,group,classification,"{""n_neighbors"": 7, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/PCA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/train_data,/app/data/PCA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/test_data,/app/data/PCA_L_2_C_Resource_Boosted/ml_results_grid_search/KNN/sub-11_sub-54/task_KNN_0_7516,0,completed,1000,2025-11-01T21:55:18.310675,,2025-11-01T21:55:39.965655,,worker_a614f3ee07b933183ba43483c2c3c5c26e2402af965e046815e82d5d
KNN_0_3850,KNN,group,classification,"{""n_neighbors"": 15, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/PCA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/train_data,/app/data/PCA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/test_data,/app/data/PCA_L_2_C_Resource_Boosted/ml_results_grid_search/KNN/sub-11_sub-54/task_KNN_0_3850,0,completed,1000,2025-11-01T21:55:18.310695,,2025-11-01T21:55:52.852673,,worker_a4d907717a10b9bc8e4270b3e866353296fb45d86598e565a9f8f74a
SVM_0_8413,SVM,group,classification,"{""C"": ""0.1"", ""kernel"": ""linear"", ""gamma"": ""auto""}",/app/data/PCA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/train_data,/app/data/PCA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/test_data,/app/data/PCA_L_2_C_Resource_Boosted/ml_results_grid_search/SVM/sub-11_sub-54/task_SVM_0_8413,0,completed,1000,2025-11-01T21:55:18.313622,,2025-11-01T21:56:43.796572,,worker_7d0911c764ca0954156026b30a2ea3f91254a5417fd4be105d5d5c26
SVM_0_8323,SVM,group,classification,"{""C"": ""0.1"", ""kernel"": ""rbf"", ""gamma"": ""auto""}",/app/data/PCA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/train_data,/app/data/PCA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/test_data,/app/data/PCA_L_2_C_Resource_Boosted/ml_results_grid_search/SVM/sub-11_sub-54/task_SVM_0_8323,0,completed,1000,2025-11-01T21:55:18.313643,,2025-11-01T21:57:49.374247,,worker_8217a94ca570b2d1b3a6d14e8bf975b5e1bcee7910192d8575a86d01
SVM_0_2431,SVM,group,classification,"{""C"": ""0.1"", ""kernel"": ""poly"", ""gamma"": ""auto""}",/app/data/PCA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/train_data,/app/data/PCA_L_2_C_Resource_Boosted/transformed/sub-11_sub-54/test_data,/app/data/PCA_L_2_C_Resource_Boosted/ml_results_grid_search/SVM/sub-11_sub-54/task_SVM_0_2431,0,completed,1000,2025-11-01T21:55:18.313662,,2025-11-01T21:56:48.438898,,worker_24f57816b278433423375d01ee6e50e2e6dad011215e7a7fb6fa82d5
