Subject,Median_Accuracy,N_Folds_Observed
sub-1,0.5814,8
sub-2,0.6627,8
sub-3,0.7626,8
sub-4,0.7575,4
sub-5,0.6924,8
sub-6,0.5818,8
sub-7,0.8168,12
sub-8,0.8425,8
sub-9,N/A,0
sub-10,N/A,0
sub-11,0.6442,8
sub-12,N/A,0
sub-13,0.4286,4
sub-14,0.6752,12
sub-15,0.6290,16
sub-16,0.9081,4
sub-17,0.8571,4
sub-18,0.7518,24
sub-19,0.6505,8
sub-20,N/A,0
sub-21,0.6942,4
sub-22,0.7352,4
sub-23,0.7229,4
sub-24,0.8725,12
sub-25,N/A,0
sub-26,N/A,0
sub-27,N/A,0
sub-28,0.6693,8
sub-29,N/A,0
sub-30,0.8451,8
sub-31,N/A,0
sub-32,N/A,0
sub-33,0.7831,4
sub-34,N/A,0
sub-35,0.6285,8
sub-36,0.6076,4
sub-37,0.7850,4
sub-38,0.6198,8
sub-39,0.7310,12
sub-40,0.7352,4
sub-41,0.7307,8
sub-42,0.8758,8
sub-43,N/A,0
sub-44,0.7206,16
sub-45,N/A,0
sub-46,N/A,0
sub-47,0.7652,4
sub-48,0.8274,8
sub-49,0.8418,16
sub-50,0.5338,4
sub-51,0.6278,8
sub-52,N/A,0
sub-53,N/A,0
sub-54,0.7534,16
sub-55,0.9196,4
sub-56,0.7271,12
sub-57,0.7810,4
sub-58,0.7877,8
sub-59,0.4658,12
sub-60,0.6294,4
sub-61,0.5507,12
sub-62,0.8441,12
sub-63,0.5875,8
sub-64,0.8386,4
sub-65,0.6495,4
