Subject,Fold,Model,Accuracy
sub-1,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,KNN,0.7259
sub-1,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,XGBoost,0.5376
sub-1,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,SVM,0.7310
sub-1,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,MLP_(Neural_Network),0.5650
sub-1,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,KNN,0.6241
sub-1,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,XGBoost,0.5610
sub-1,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,SVM,0.6825
sub-1,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,MLP_(Neural_Network),0.6489
sub-2,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,KNN,0.6457
sub-2,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,XGBoost,0.5728
sub-2,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,SVM,0.7055
sub-2,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,MLP_(Neural_Network),0.6714
sub-2,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,KNN,0.6353
sub-2,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,XGBoost,0.6789
sub-2,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,SVM,0.6332
sub-2,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,MLP_(Neural_Network),0.7434
sub-2,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,KNN,0.7155
sub-2,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,XGBoost,0.6540
sub-2,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,SVM,0.6914
sub-2,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,MLP_(Neural_Network),0.6841
sub-2,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59,KNN,0.6191
sub-2,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59,XGBoost,0.5274
sub-2,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59,SVM,0.6500
sub-2,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59,MLP_(Neural_Network),0.6364
sub-2,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,KNN,0.6251
sub-2,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,XGBoost,0.6954
sub-2,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,SVM,0.5375
sub-2,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,MLP_(Neural_Network),0.7488
sub-3,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60,KNN,0.6994
sub-3,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60,XGBoost,0.7366
sub-3,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60,SVM,0.6837
sub-3,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60,MLP_(Neural_Network),0.6949
sub-3,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,KNN,0.6704
sub-3,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,XGBoost,0.7184
sub-3,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,SVM,0.6604
sub-3,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,MLP_(Neural_Network),0.7667
