Subject,Median_Accuracy_Current_Method,N_Folds,N_Model_Observations,Calculation_Method,Note
sub-1,0.6365,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-2,0.6520,5,20,Median of 20 accuracies (across 5 folds × multiple models),Mixed: 20 accuracies from 5 fold(s) and multiple models
sub-3,0.6972,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-4,0.7288,5,19,Median of 19 accuracies (across 5 folds × multiple models),Mixed: 19 accuracies from 5 fold(s) and multiple models
sub-5,0.6557,7,27,Median of 27 accuracies (across 7 folds × multiple models),Mixed: 27 accuracies from 7 fold(s) and multiple models
sub-6,0.6361,7,26,Median of 26 accuracies (across 7 folds × multiple models),Mixed: 26 accuracies from 7 fold(s) and multiple models
sub-7,0.6556,4,15,Median of 15 accuracies (across 4 folds × multiple models),Mixed: 15 accuracies from 4 fold(s) and multiple models
sub-8,0.6914,7,27,Median of 27 accuracies (across 7 folds × multiple models),Mixed: 27 accuracies from 7 fold(s) and multiple models
sub-9,0.5783,2,7,Median of 7 accuracies (across 2 folds × multiple models),Mixed: 7 accuracies from 2 fold(s) and multiple models
sub-10,0.5864,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-11,0.7243,6,24,Median of 24 accuracies (across 6 folds × multiple models),Mixed: 24 accuracies from 6 fold(s) and multiple models
sub-12,0.7558,2,7,Median of 7 accuracies (across 2 folds × multiple models),Mixed: 7 accuracies from 2 fold(s) and multiple models
sub-13,0.6697,5,20,Median of 20 accuracies (across 5 folds × multiple models),Mixed: 20 accuracies from 5 fold(s) and multiple models
sub-14,0.7055,5,19,Median of 19 accuracies (across 5 folds × multiple models),Mixed: 19 accuracies from 5 fold(s) and multiple models
sub-15,0.7058,7,27,Median of 27 accuracies (across 7 folds × multiple models),Mixed: 27 accuracies from 7 fold(s) and multiple models
sub-16,0.6532,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-17,0.7014,5,20,Median of 20 accuracies (across 5 folds × multiple models),Mixed: 20 accuracies from 5 fold(s) and multiple models
sub-18,0.7058,4,16,Median of 16 accuracies (across 4 folds × multiple models),Mixed: 16 accuracies from 4 fold(s) and multiple models
sub-19,0.6938,3,11,Median of 11 accuracies (across 3 folds × multiple models),Mixed: 11 accuracies from 3 fold(s) and multiple models
sub-20,0.6993,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
