Subject,Median_Accuracy,N_Folds_Observed
sub-1,0.7197,1
sub-2,0.7197,1
sub-3,0.7197,1
sub-4,0.6975,1
sub-5,0.6975,1
sub-6,0.6975,1
sub-7,0.6098,1
sub-8,0.6098,1
sub-9,0.6098,1
sub-10,0.6756,1
sub-11,0.6756,1
sub-12,0.6756,1
sub-13,0.6640,1
sub-14,0.6640,1
sub-15,0.6640,1
sub-16,0.7805,1
sub-17,0.7805,1
sub-18,0.7805,1
sub-19,0.8366,1
sub-20,0.8366,1
sub-21,0.8366,1
sub-22,0.5253,1
sub-23,0.5253,1
sub-24,0.5253,1
sub-25,0.5995,1
sub-26,0.5995,1
sub-27,0.5995,1
sub-28,0.6832,1
sub-29,0.6832,1
sub-30,0.6832,1
sub-31,0.6555,1
sub-32,0.6555,1
sub-33,0.6555,1
sub-34,0.6955,1
sub-35,0.6955,1
sub-36,0.6955,1
sub-37,0.7090,2
sub-38,0.6889,2
sub-39,0.6889,2
sub-40,0.6714,2
sub-41,0.6955,2
sub-42,0.6955,2
sub-43,0.6324,2
sub-44,0.6098,1
sub-45,0.6098,1
sub-46,0.6756,1
sub-47,0.6756,1
sub-48,0.6756,1
sub-49,0.6640,1
sub-50,0.6640,1
sub-51,0.6640,1
sub-52,0.7805,1
sub-53,0.7805,1
sub-54,0.7805,1
sub-55,0.8366,1
sub-56,0.8366,1
sub-57,0.8366,1
sub-58,0.5253,1
sub-59,0.5253,1
sub-60,0.5253,1
sub-61,0.5995,1
sub-62,0.5995,1
sub-63,0.5995,1
sub-64,0.6832,1
sub-65,0.6832,1
