Subject,Fold,Model,Accuracy
sub-1,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,KNN,0.6964
sub-1,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,XGBoost,0.7133
sub-1,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,SVM,0.7272
sub-1,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,MLP_(Neural_Network),0.7261
sub-2,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,KNN,0.6964
sub-2,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,XGBoost,0.7133
sub-2,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,SVM,0.7272
sub-2,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,MLP_(Neural_Network),0.7261
sub-3,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,KNN,0.6964
sub-3,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,XGBoost,0.7133
sub-3,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,SVM,0.7272
sub-3,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,MLP_(Neural_Network),0.7261
sub-4,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,KNN,0.7151
sub-4,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,XGBoost,0.6799
sub-4,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,SVM,0.6093
sub-4,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,MLP_(Neural_Network),0.7282
sub-5,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,KNN,0.7151
sub-5,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,XGBoost,0.6799
sub-5,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,SVM,0.6093
sub-5,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,MLP_(Neural_Network),0.7282
sub-6,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,KNN,0.7151
sub-6,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,XGBoost,0.6799
sub-6,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,SVM,0.6093
sub-6,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,MLP_(Neural_Network),0.7282
sub-7,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,KNN,0.6077
sub-7,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,XGBoost,0.6120
sub-7,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,SVM,0.5563
sub-7,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,MLP_(Neural_Network),0.6528
sub-8,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,KNN,0.6077
sub-8,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,XGBoost,0.6120
sub-8,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,SVM,0.5563
sub-8,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,MLP_(Neural_Network),0.6528
sub-9,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,KNN,0.6077
sub-9,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,XGBoost,0.6120
sub-9,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,SVM,0.5563
sub-9,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,MLP_(Neural_Network),0.6528
sub-10,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,KNN,0.6164
sub-10,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,XGBoost,0.6418
