Subject,Median_Accuracy,N_Folds_Observed
sub-1,0.4518,8
sub-2,0.5257,8
sub-3,0.4777,8
sub-4,0.5415,4
sub-5,0.5647,8
sub-6,0.5180,8
sub-7,0.6118,12
sub-8,0.5475,8
sub-9,N/A,0
sub-10,N/A,0
sub-11,0.5101,8
sub-12,N/A,0
sub-13,0.4966,4
sub-14,0.5358,12
sub-15,0.5246,16
sub-16,0.5375,4
sub-17,0.5167,4
sub-18,0.5189,24
sub-19,0.5543,8
sub-20,N/A,0
sub-21,0.5362,4
sub-22,0.5653,4
sub-23,0.6700,4
sub-24,0.5828,12
sub-25,N/A,0
sub-26,N/A,0
sub-27,N/A,0
sub-28,0.5089,8
sub-29,N/A,0
sub-30,0.5505,8
sub-31,N/A,0
sub-32,N/A,0
sub-33,0.6032,4
sub-34,N/A,0
sub-35,0.5123,8
sub-36,0.5566,4
sub-37,0.5175,4
sub-38,0.5069,8
sub-39,0.5543,12
sub-40,0.5653,4
sub-41,0.5106,8
sub-42,0.5775,8
sub-43,N/A,0
sub-44,0.5570,16
sub-45,N/A,0
sub-46,N/A,0
sub-47,0.5169,4
sub-48,0.5668,8
sub-49,0.5866,16
sub-50,0.5123,4
sub-51,0.5796,8
sub-52,N/A,0
sub-53,N/A,0
sub-54,0.5059,16
sub-55,0.5664,4
sub-56,0.6198,12
sub-57,0.5741,4
sub-58,0.5435,8
sub-59,0.5057,12
sub-60,0.3003,4
sub-61,0.5043,12
sub-62,0.5823,12
sub-63,0.5362,8
sub-64,0.6439,4
sub-65,0.4231,4
