Subject,Fold,Model,Accuracy
sub-1,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,KNN,0.5585
sub-1,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,XGBoost,0.4606
sub-1,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,SVM,0.4541
sub-1,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,MLP_(Neural_Network),0.4678
sub-1,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,KNN,0.6462
sub-1,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,XGBoost,0.4727
sub-1,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,SVM,0.6628
sub-1,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,MLP_(Neural_Network),0.5399
sub-2,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,KNN,0.4991
sub-2,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,XGBoost,0.5415
sub-2,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,SVM,0.5144
sub-2,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,MLP_(Neural_Network),0.6808
sub-2,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,KNN,0.4994
sub-2,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,XGBoost,0.6386
sub-2,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,SVM,0.5414
sub-2,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,MLP_(Neural_Network),0.6258
sub-2,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,KNN,0.5063
sub-2,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,XGBoost,0.5114
sub-2,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,SVM,0.5095
sub-2,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,MLP_(Neural_Network),0.5627
sub-2,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59,KNN,0.4779
sub-2,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59,XGBoost,0.5904
sub-2,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59,SVM,0.5028
sub-2,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59,MLP_(Neural_Network),0.5325
sub-2,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,KNN,0.5487
sub-2,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,XGBoost,0.4743
sub-2,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,SVM,0.4706
sub-2,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,MLP_(Neural_Network),0.5544
sub-3,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60,KNN,0.5809
sub-3,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60,XGBoost,0.4841
sub-3,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60,SVM,0.4728
sub-3,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60,MLP_(Neural_Network),0.4777
sub-3,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,KNN,0.5761
sub-3,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,XGBoost,0.5192
sub-3,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,SVM,0.6435
sub-3,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,MLP_(Neural_Network),0.6318
sub-4,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,KNN,0.4701
sub-4,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,XGBoost,0.4329
sub-4,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,SVM,0.4426
sub-4,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,MLP_(Neural_Network),0.5131
sub-4,sub-4_sub-16_sub-20_sub-44_sub-55_sub-65,KNN,0.5034
sub-4,sub-4_sub-16_sub-20_sub-44_sub-55_sub-65,XGBoost,0.5580
sub-4,sub-4_sub-16_sub-20_sub-44_sub-55_sub-65,SVM,0.5909
sub-4,sub-4_sub-16_sub-20_sub-44_sub-55_sub-65,MLP_(Neural_Network),0.4911
sub-4,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,KNN,0.5823
sub-4,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,XGBoost,0.4669
sub-4,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,SVM,0.4594
sub-4,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,MLP_(Neural_Network),0.6689
sub-4,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,KNN,0.4924
sub-4,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,XGBoost,0.4852
sub-4,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,SVM,0.5554
sub-4,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,MLP_(Neural_Network),0.4786
sub-4,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62,KNN,0.6586
sub-4,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62,XGBoost,0.7063
sub-4,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62,SVM,0.4758
sub-4,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62,MLP_(Neural_Network),0.6321
sub-5,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61,KNN,0.5531
sub-5,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61,XGBoost,0.5090
sub-5,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61,SVM,0.4441
sub-5,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61,MLP_(Neural_Network),0.5718
sub-5,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,KNN,0.4924
sub-5,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,XGBoost,0.4852
sub-5,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,SVM,0.5554
sub-5,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,MLP_(Neural_Network),0.4786
sub-5,sub-5_sub-25_sub-28_sub-49_sub-51_sub-56,KNN,0.5032
sub-5,sub-5_sub-25_sub-28_sub-49_sub-51_sub-56,XGBoost,0.5319
sub-5,sub-5_sub-25_sub-28_sub-49_sub-51_sub-56,SVM,0.5691
sub-5,sub-5_sub-25_sub-28_sub-49_sub-51_sub-56,MLP_(Neural_Network),0.5501
sub-5,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,KNN,0.5110
sub-5,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,XGBoost,0.5276
sub-5,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,SVM,0.4922
sub-5,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,MLP_(Neural_Network),0.5874
sub-5,sub-5_sub-29_sub-36_sub-38_sub-40_sub-57,KNN,0.5172
sub-5,sub-5_sub-29_sub-36_sub-38_sub-40_sub-57,XGBoost,0.5809
sub-5,sub-5_sub-29_sub-36_sub-38_sub-40_sub-57,SVM,0.4828
sub-5,sub-5_sub-29_sub-36_sub-38_sub-40_sub-57,MLP_(Neural_Network),0.6066
sub-5,sub-5_sub-22_sub-33_sub-44_sub-45_sub-58,KNN,0.6318
sub-5,sub-5_sub-22_sub-33_sub-44_sub-45_sub-58,XGBoost,0.5612
sub-5,sub-5_sub-22_sub-33_sub-44_sub-45_sub-58,SVM,0.5681
sub-5,sub-5_sub-22_sub-33_sub-44_sub-45_sub-58,MLP_(Neural_Network),0.5853
sub-5,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,KNN,0.5134
sub-5,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,XGBoost,0.4965
sub-5,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,SVM,0.4747
sub-5,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,MLP_(Neural_Network),0.5571
sub-6,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,KNN,0.4991
sub-6,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,XGBoost,0.5415
sub-6,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,SVM,0.5144
sub-6,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,MLP_(Neural_Network),0.6808
sub-6,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64,KNN,0.6260
sub-6,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64,XGBoost,0.5361
sub-6,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64,SVM,0.7408
sub-6,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64,MLP_(Neural_Network),0.6470
sub-6,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,KNN,0.4701
sub-6,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,XGBoost,0.4329
sub-6,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,SVM,0.4426
sub-6,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,MLP_(Neural_Network),0.5131
sub-6,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61,KNN,0.5531
sub-6,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61,XGBoost,0.5090
sub-6,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61,SVM,0.4441
sub-6,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61,MLP_(Neural_Network),0.5718
sub-6,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,KNN,0.4903
sub-6,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,XGBoost,0.4736
sub-6,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,SVM,0.4886
sub-6,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,MLP_(Neural_Network),0.5394
sub-6,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,KNN,0.5438
sub-6,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,XGBoost,0.4629
sub-6,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,SVM,0.4538
sub-6,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,MLP_(Neural_Network),0.4785
sub-6,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,KNN,0.6462
sub-6,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,XGBoost,0.4727
sub-6,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,SVM,0.6628
sub-6,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,MLP_(Neural_Network),0.5399
sub-7,sub-7_sub-14_sub-22_sub-39_sub-40_sub-49,KNN,0.5369
sub-7,sub-7_sub-14_sub-22_sub-39_sub-40_sub-49,XGBoost,0.5455
sub-7,sub-7_sub-14_sub-22_sub-39_sub-40_sub-49,SVM,0.5308
sub-7,sub-7_sub-14_sub-22_sub-39_sub-40_sub-49,MLP_(Neural_Network),0.4907
sub-7,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,KNN,0.4903
sub-7,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,XGBoost,0.4736
sub-7,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,SVM,0.4886
sub-7,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,MLP_(Neural_Network),0.5394
sub-7,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,KNN,0.6841
sub-7,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,XGBoost,0.5656
sub-7,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,SVM,0.5234
sub-7,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,MLP_(Neural_Network),0.7623
sub-7,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62,KNN,0.6586
sub-7,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62,XGBoost,0.7063
sub-7,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62,SVM,0.4758
sub-7,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62,MLP_(Neural_Network),0.6321
sub-8,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,KNN,0.4701
sub-8,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,XGBoost,0.4329
sub-8,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,SVM,0.4426
sub-8,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,MLP_(Neural_Network),0.5131
sub-8,sub-8_sub-18_sub-35_sub-47_sub-57_sub-61,KNN,0.5122
sub-8,sub-8_sub-18_sub-35_sub-47_sub-57_sub-61,XGBoost,0.6227
sub-8,sub-8_sub-18_sub-35_sub-47_sub-57_sub-61,SVM,0.4924
sub-8,sub-8_sub-18_sub-35_sub-47_sub-57_sub-61,MLP_(Neural_Network),0.5372
sub-8,sub-8_sub-29_sub-34_sub-39_sub-44_sub-47,KNN,0.5129
sub-8,sub-8_sub-29_sub-34_sub-39_sub-44_sub-47,XGBoost,0.5281
sub-8,sub-8_sub-29_sub-34_sub-39_sub-44_sub-47,SVM,0.7091
sub-8,sub-8_sub-29_sub-34_sub-39_sub-44_sub-47,MLP_(Neural_Network),0.5284
sub-8,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,KNN,0.5063
sub-8,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,XGBoost,0.5114
sub-8,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,SVM,0.5095
sub-8,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,MLP_(Neural_Network),0.5627
sub-8,sub-8_sub-19_sub-28_sub-37_sub-42_sub-51,KNN,0.6166
sub-8,sub-8_sub-19_sub-28_sub-37_sub-42_sub-51,XGBoost,0.5955
sub-8,sub-8_sub-19_sub-28_sub-37_sub-42_sub-51,SVM,0.6015
sub-8,sub-8_sub-19_sub-28_sub-37_sub-42_sub-51,MLP_(Neural_Network),0.8004
sub-8,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,KNN,0.5487
sub-8,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,XGBoost,0.4743
sub-8,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,SVM,0.4706
sub-8,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,MLP_(Neural_Network),0.5544
sub-8,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,KNN,0.5438
sub-8,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,XGBoost,0.4629
sub-8,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,SVM,0.4538
sub-8,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,MLP_(Neural_Network),0.4785
sub-9,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,KNN,0.5456
sub-9,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,XGBoost,0.4954
sub-9,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,SVM,0.5063
sub-9,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,MLP_(Neural_Network),0.5446
sub-9,sub-9_sub-31_sub-36_sub-42_sub-45_sub-53,KNN,0.4927
sub-9,sub-9_sub-31_sub-36_sub-42_sub-45_sub-53,XGBoost,0.5243
sub-9,sub-9_sub-31_sub-36_sub-42_sub-45_sub-53,SVM,0.5178
sub-9,sub-9_sub-31_sub-36_sub-42_sub-45_sub-53,MLP_(Neural_Network),0.5405
sub-10,sub-10_sub-32_sub-36_sub-38_sub-43_sub-46,KNN,0.4733
sub-10,sub-10_sub-32_sub-36_sub-38_sub-43_sub-46,XGBoost,0.5646
sub-10,sub-10_sub-32_sub-36_sub-38_sub-43_sub-46,SVM,0.5873
sub-10,sub-10_sub-32_sub-36_sub-38_sub-43_sub-46,MLP_(Neural_Network),0.6079
sub-10,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,KNN,0.4851
sub-10,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,XGBoost,0.5809
sub-10,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,SVM,0.6040
sub-10,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,MLP_(Neural_Network),0.6370
sub-11,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,KNN,0.5823
sub-11,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,XGBoost,0.4669
sub-11,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,SVM,0.4594
sub-11,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,MLP_(Neural_Network),0.6689
sub-11,sub-11_sub-25_sub-30_sub-45_sub-57_sub-59,KNN,0.4991
sub-11,sub-11_sub-25_sub-30_sub-45_sub-57_sub-59,XGBoost,0.3794
sub-11,sub-11_sub-25_sub-30_sub-45_sub-57_sub-59,SVM,0.4112
sub-11,sub-11_sub-25_sub-30_sub-45_sub-57_sub-59,MLP_(Neural_Network),0.4290
sub-11,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,KNN,0.5585
sub-11,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,XGBoost,0.4606
sub-11,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,SVM,0.4541
sub-11,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,MLP_(Neural_Network),0.4678
sub-11,sub-11_sub-34_sub-35_sub-37_sub-47_sub-56,KNN,0.4707
sub-11,sub-11_sub-34_sub-35_sub-37_sub-47_sub-56,XGBoost,0.6305
sub-11,sub-11_sub-34_sub-35_sub-37_sub-47_sub-56,SVM,0.5331
sub-11,sub-11_sub-34_sub-35_sub-37_sub-47_sub-56,MLP_(Neural_Network),0.5722
sub-11,sub-11_sub-27_sub-32_sub-43_sub-52_sub-64,KNN,0.5720
sub-11,sub-11_sub-27_sub-32_sub-43_sub-52_sub-64,XGBoost,0.6331
sub-11,sub-11_sub-27_sub-32_sub-43_sub-52_sub-64,SVM,0.4518
sub-11,sub-11_sub-27_sub-32_sub-43_sub-52_sub-64,MLP_(Neural_Network),0.6672
sub-11,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,KNN,0.5134
sub-11,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,XGBoost,0.4965
sub-11,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,SVM,0.4747
sub-11,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,MLP_(Neural_Network),0.5571
sub-12,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,KNN,0.5456
sub-12,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,XGBoost,0.4954
sub-12,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,SVM,0.5063
sub-12,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,MLP_(Neural_Network),0.5446
sub-12,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64,KNN,0.6931
