Subject,Median_Accuracy_Current_Method,N_Folds,N_Model_Observations,Calculation_Method,Note
sub-1,0.5063,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-2,0.5234,5,20,Median of 20 accuracies (across 5 folds × multiple models),Mixed: 20 accuracies from 5 fold(s) and multiple models
sub-3,0.5477,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-4,0.4979,5,20,Median of 20 accuracies (across 5 folds × multiple models),Mixed: 20 accuracies from 5 fold(s) and multiple models
sub-5,0.5297,7,28,Median of 28 accuracies (across 7 folds × multiple models),Mixed: 28 accuracies from 7 fold(s) and multiple models
sub-6,0.5138,7,28,Median of 28 accuracies (across 7 folds × multiple models),Mixed: 28 accuracies from 7 fold(s) and multiple models
sub-7,0.5381,4,16,Median of 16 accuracies (across 4 folds × multiple models),Mixed: 16 accuracies from 4 fold(s) and multiple models
sub-8,0.5130,7,28,Median of 28 accuracies (across 7 folds × multiple models),Mixed: 28 accuracies from 7 fold(s) and multiple models
sub-9,0.5211,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-10,0.5841,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-11,0.4978,6,24,Median of 24 accuracies (across 6 folds × multiple models),Mixed: 24 accuracies from 6 fold(s) and multiple models
sub-12,0.5245,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-13,0.5414,5,20,Median of 20 accuracies (across 5 folds × multiple models),Mixed: 20 accuracies from 5 fold(s) and multiple models
sub-14,0.5157,5,20,Median of 20 accuracies (across 5 folds × multiple models),Mixed: 20 accuracies from 5 fold(s) and multiple models
sub-15,0.5355,7,28,Median of 28 accuracies (across 7 folds × multiple models),Mixed: 28 accuracies from 7 fold(s) and multiple models
sub-16,0.5618,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-17,0.5523,5,20,Median of 20 accuracies (across 5 folds × multiple models),Mixed: 20 accuracies from 5 fold(s) and multiple models
sub-18,0.5118,4,16,Median of 16 accuracies (across 4 folds × multiple models),Mixed: 16 accuracies from 4 fold(s) and multiple models
sub-19,0.5985,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-20,0.5524,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-21,0.5248,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-22,0.5534,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-23,0.5917,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-24,0.5135,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-25,0.4888,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-26,0.5409,4,16,Median of 16 accuracies (across 4 folds × multiple models),Mixed: 16 accuracies from 4 fold(s) and multiple models
sub-27,0.5906,4,16,Median of 16 accuracies (across 4 folds × multiple models),Mixed: 16 accuracies from 4 fold(s) and multiple models
sub-28,0.5451,7,28,Median of 28 accuracies (across 7 folds × multiple models),Mixed: 28 accuracies from 7 fold(s) and multiple models
sub-29,0.5547,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-30,0.5022,4,16,Median of 16 accuracies (across 4 folds × multiple models),Mixed: 16 accuracies from 4 fold(s) and multiple models
sub-31,0.5398,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-32,0.5324,6,24,Median of 24 accuracies (across 6 folds × multiple models),Mixed: 24 accuracies from 6 fold(s) and multiple models
sub-33,0.5647,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
