Subject,Median_Accuracy,N_Folds_Observed
sub-1,0.4901,1
sub-2,0.4901,1
sub-3,0.4901,1
sub-4,0.5035,1
sub-5,0.5035,1
sub-6,0.5035,1
sub-7,0.5080,1
sub-8,0.5080,1
sub-9,0.5080,1
sub-10,0.5883,1
sub-11,0.5883,1
sub-12,0.5883,1
sub-13,0.5747,1
sub-14,0.5747,1
sub-15,0.5747,1
sub-16,0.5317,1
sub-17,0.5317,1
sub-18,0.5317,1
sub-19,0.5921,1
sub-20,0.5921,1
sub-21,0.5921,1
sub-22,0.4998,1
sub-23,0.4998,1
sub-24,0.4998,1
sub-25,0.4673,1
sub-26,0.4673,1
sub-27,0.4673,1
sub-28,0.6229,1
sub-29,0.6229,1
sub-30,0.6229,1
sub-31,0.5279,1
sub-32,0.5279,1
sub-33,0.5279,1
sub-34,0.5270,1
sub-35,0.5270,1
sub-36,0.5270,1
sub-37,0.5461,2
sub-38,0.5212,2
sub-39,0.5212,2
sub-40,0.5279,2
sub-41,0.5195,2
sub-42,0.5195,2
sub-43,0.5137,2
sub-44,0.5080,1
sub-45,0.5080,1
sub-46,0.5883,1
sub-47,0.5883,1
sub-48,0.5883,1
sub-49,0.5747,1
sub-50,0.5747,1
sub-51,0.5747,1
sub-52,0.5317,1
sub-53,0.5317,1
sub-54,0.5317,1
sub-55,0.5921,1
sub-56,0.5921,1
sub-57,0.5921,1
sub-58,0.4998,1
sub-59,0.4998,1
sub-60,0.4998,1
sub-61,0.4673,1
sub-62,0.4673,1
sub-63,0.4673,1
sub-64,0.6229,1
sub-65,0.6229,1
