Subject,Fold,Model,Accuracy
sub-1,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,KNN,0.5756
sub-1,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,XGBoost,0.5167
sub-1,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,SVM,0.4288
sub-1,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,MLP_(Neural_Network),0.4636
sub-2,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,KNN,0.5756
sub-2,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,XGBoost,0.5167
sub-2,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,SVM,0.4288
sub-2,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,MLP_(Neural_Network),0.4636
sub-3,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,KNN,0.5756
sub-3,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,XGBoost,0.5167
sub-3,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,SVM,0.4288
sub-3,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,MLP_(Neural_Network),0.4636
sub-4,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,KNN,0.5340
sub-4,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,XGBoost,0.5896
sub-4,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,SVM,0.4526
sub-4,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,MLP_(Neural_Network),0.4730
sub-5,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,KNN,0.5340
sub-5,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,XGBoost,0.5896
sub-5,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,SVM,0.4526
sub-5,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,MLP_(Neural_Network),0.4730
sub-6,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,KNN,0.5340
sub-6,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,XGBoost,0.5896
sub-6,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,SVM,0.4526
sub-6,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,MLP_(Neural_Network),0.4730
sub-7,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,KNN,0.4935
sub-7,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,XGBoost,0.5225
sub-7,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,SVM,0.4785
sub-7,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,MLP_(Neural_Network),0.6177
sub-8,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,KNN,0.4935
sub-8,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,XGBoost,0.5225
sub-8,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,SVM,0.4785
sub-8,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,MLP_(Neural_Network),0.6177
sub-9,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,KNN,0.4935
sub-9,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,XGBoost,0.5225
sub-9,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,SVM,0.4785
sub-9,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,MLP_(Neural_Network),0.6177
sub-10,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,KNN,0.4876
sub-10,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,XGBoost,0.6314
sub-10,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,SVM,0.5451
sub-10,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,MLP_(Neural_Network),0.6513
sub-11,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,KNN,0.4876
sub-11,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,XGBoost,0.6314
sub-11,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,SVM,0.5451
sub-11,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,MLP_(Neural_Network),0.6513
sub-12,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,KNN,0.4876
sub-12,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,XGBoost,0.6314
sub-12,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,SVM,0.5451
sub-12,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,MLP_(Neural_Network),0.6513
sub-13,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,KNN,0.4897
sub-13,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,XGBoost,0.5984
