Experiment,Experiment_Type,Subject,Model,Mean_Accuracy,Min_Accuracy,Max_Accuracy,Swing,Std_Dev,N_Folds,CI_95,SE,Fold_IDs
ANOVA_L_6_Random,random,sub-2,"KNN (n_neighbors=unknown, metric=euclidean, weights=uniform)",0.6251,0.6251,0.6251,0.0000,0.0000,1,CI unavailable,0.4841,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65
ANOVA_L_6_Random,random,sub-2,"XGBoost (learning_rate=unknown, max_depth=unknown, n_estimators=unknown)",0.6954,0.6954,0.6954,0.0000,0.0000,1,CI unavailable,0.4602,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65
ANOVA_L_6_Random,random,sub-2,"XGBoost (learning_rate=unknown, max_depth=unknown, n_estimators=unknown)",0.5274,0.5274,0.5274,0.0000,0.0000,1,CI unavailable,0.4992,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59
ANOVA_L_6_Random,random,sub-2,"SVM (kernel=rbf, C=0.1, gamma=auto)",0.5853,0.5375,0.6332,0.0956,0.0676,2,"[0.000, 1.000]",0.3484,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55;sub-2_sub-8_sub-32_sub-48_sub-63_sub-65
ANOVA_L_6_Random,random,sub-2,"MLP (activation=tanh, alpha=0.1, hidden=[])",0.7101,0.6714,0.7488,0.0774,0.0547,2,"[0.081, 1.000]",0.3208,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56;sub-2_sub-8_sub-32_sub-48_sub-63_sub-65
ANOVA_L_6_Random,random,sub-2,"MLP (activation=tanh, alpha=0.1, hidden=[])",0.6603,0.6364,0.6841,0.0477,0.0337,2,"[0.004, 1.000]",0.3349,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60;sub-2_sub-13_sub-36_sub-54_sub-57_sub-59
ANOVA_L_6_Random,random,sub-2,"MLP (activation=tanh, alpha=0.1, hidden=[])",0.7434,0.7434,0.7434,0.0000,0.0000,1,CI unavailable,0.4367,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55
ANOVA_L_6_Random,random,sub-6,"KNN (n_neighbors=unknown, metric=euclidean, weights=uniform)",0.6457,0.6457,0.6457,0.0000,0.0000,1,CI unavailable,0.4783,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56
ANOVA_L_6_Random,random,sub-6,"XGBoost (learning_rate=unknown, max_depth=unknown, n_estimators=unknown)",0.6407,0.5728,0.7087,0.1360,0.0961,2,"[0.000, 1.000]",0.3393,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56;sub-4_sub-6_sub-8_sub-41_sub-42_sub-57
ANOVA_L_6_Random,random,sub-6,"SVM (kernel=linear, C=0.1, gamma=auto)",0.7507,0.7055,0.7960,0.0905,0.0640,2,"[0.151, 1.000]",0.3059,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56;sub-4_sub-6_sub-8_sub-41_sub-42_sub-57
ANOVA_L_6_Random,random,sub-6,"SVM (kernel=rbf, C=0.1, gamma=auto)",0.5184,0.4986,0.5382,0.0396,0.0280,2,"[0.000, 1.000]",0.3533,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61;sub-6_sub-8_sub-25_sub-46_sub-54_sub-63
ANOVA_L_6_Random,random,sub-6,"MLP (activation=tanh, alpha=0.1, hidden=[])",0.6173,0.6173,0.6173,0.0000,0.0000,1,CI unavailable,0.4861,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61
