Experiment,Experiment_Type,Subject,Model,Mean_Accuracy,Min_Accuracy,Max_Accuracy,Swing,Std_Dev,N_Folds,CI_95,SE,Fold_IDs
ANOVA_L_6_Random,random,sub-2,"KNN (n_neighbors=unknown, metric=euclidean, weights=uniform)",0.6539,0.6191,0.7155,0.0964,0.0425,4,"[0.188, 1.000]",0.2379,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56;sub-2_sub-15_sub-36_sub-37_sub-44_sub-55;sub-2_sub-8_sub-18_sub-41_sub-44_sub-60;sub-2_sub-13_sub-36_sub-54_sub-57_sub-59
ANOVA_L_6_Random,random,sub-2,"XGBoost (learning_rate=unknown, max_depth=unknown, n_estimators=unknown)",0.6352,0.5728,0.6789,0.1061,0.0555,3,"[0.090, 1.000]",0.2779,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56;sub-2_sub-15_sub-36_sub-37_sub-44_sub-55;sub-2_sub-8_sub-18_sub-41_sub-44_sub-60
ANOVA_L_6_Random,random,sub-2,"SVM (kernel=linear, C=0.1, gamma=auto)",0.6823,0.6500,0.7055,0.0555,0.0288,3,"[0.155, 1.000]",0.2688,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56;sub-2_sub-8_sub-18_sub-41_sub-44_sub-60;sub-2_sub-13_sub-36_sub-54_sub-57_sub-59
ANOVA_L_6_Random,random,sub-6,"KNN (n_neighbors=unknown, metric=euclidean, weights=uniform)",0.6235,0.5780,0.6643,0.0863,0.0433,3,"[0.075, 1.000]",0.2797,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64;sub-5_sub-6_sub-32_sub-41_sub-54_sub-61;sub-6_sub-8_sub-25_sub-46_sub-54_sub-63
ANOVA_L_6_Random,random,sub-6,"KNN (n_neighbors=unknown, metric=euclidean, weights=uniform)",0.6482,0.6241,0.6903,0.0662,0.0366,3,"[0.108, 1.000]",0.2757,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57;sub-6_sub-7_sub-35_sub-38_sub-50_sub-55;sub-1_sub-6_sub-35_sub-44_sub-61_sub-64
ANOVA_L_6_Random,random,sub-6,"XGBoost (learning_rate=unknown, max_depth=unknown, n_estimators=unknown)",0.6336,0.5610,0.8132,0.2522,0.1076,5,"[0.211, 1.000]",0.2155,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64;sub-5_sub-6_sub-32_sub-41_sub-54_sub-61;sub-6_sub-7_sub-35_sub-38_sub-50_sub-55;sub-6_sub-8_sub-25_sub-46_sub-54_sub-63;sub-1_sub-6_sub-35_sub-44_sub-61_sub-64
ANOVA_L_6_Random,random,sub-6,"SVM (kernel=poly, C=0.1, gamma=auto)",0.6608,0.5391,0.7608,0.2217,0.1125,3,"[0.125, 1.000]",0.2733,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64;sub-6_sub-7_sub-35_sub-38_sub-50_sub-55;sub-1_sub-6_sub-35_sub-44_sub-61_sub-64
ANOVA_L_6_Random,random,sub-6,"MLP (activation=tanh, alpha=0.1, hidden=[])",0.6222,0.5265,0.6714,0.1449,0.0650,4,"[0.147, 1.000]",0.2424,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56;sub-6_sub-7_sub-35_sub-38_sub-50_sub-55;sub-6_sub-8_sub-25_sub-46_sub-54_sub-63;sub-1_sub-6_sub-35_sub-44_sub-61_sub-64
ANOVA_L_6_Random,random,sub-14,"KNN (n_neighbors=unknown, metric=euclidean, weights=uniform)",0.6847,0.6193,0.7891,0.1697,0.0913,3,"[0.159, 1.000]",0.2683,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56;sub-14_sub-21_sub-32_sub-49_sub-57_sub-65;sub-14_sub-28_sub-35_sub-59_sub-60_sub-61
ANOVA_L_6_Random,random,sub-14,"XGBoost (learning_rate=unknown, max_depth=unknown, n_estimators=unknown)",0.6699,0.5728,0.8605,0.2877,0.1650,3,"[0.138, 1.000]",0.2715,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56;sub-14_sub-21_sub-32_sub-49_sub-57_sub-65;sub-14_sub-28_sub-35_sub-59_sub-60_sub-61
ANOVA_L_6_Random,random,sub-14,"SVM (kernel=linear, C=0.1, gamma=auto)",0.7130,0.5775,0.8559,0.2784,0.1394,3,"[0.201, 1.000]",0.2612,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56;sub-14_sub-21_sub-32_sub-49_sub-57_sub-65;sub-14_sub-28_sub-35_sub-59_sub-60_sub-61
ANOVA_L_6_Random,random,sub-44,"KNN (n_neighbors=unknown, metric=euclidean, weights=uniform)",0.6827,0.6353,0.7342,0.0989,0.0495,4,"[0.227, 1.000]",0.2327,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56;sub-2_sub-15_sub-36_sub-37_sub-44_sub-55;sub-2_sub-8_sub-18_sub-41_sub-44_sub-60;sub-5_sub-11_sub-18_sub-44_sub-54_sub-60
ANOVA_L_6_Random,random,sub-44,"KNN (n_neighbors=unknown, metric=euclidean, weights=uniform)",0.6480,0.6241,0.6780,0.0539,0.0208,5,"[0.229, 1.000]",0.2136,sub-4_sub-16_sub-20_sub-44_sub-55_sub-65;sub-8_sub-29_sub-34_sub-39_sub-44_sub-47;sub-10_sub-17_sub-30_sub-41_sub-44_sub-60;sub-5_sub-22_sub-33_sub-44_sub-45_sub-58;sub-1_sub-6_sub-35_sub-44_sub-61_sub-64
ANOVA_L_6_Random,random,sub-44,"XGBoost (learning_rate=unknown, max_depth=unknown, n_estimators=unknown)",0.6352,0.5728,0.6789,0.1061,0.0555,3,"[0.090, 1.000]",0.2779,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56;sub-2_sub-15_sub-36_sub-37_sub-44_sub-55;sub-2_sub-8_sub-18_sub-41_sub-44_sub-60
ANOVA_L_6_Random,random,sub-44,"XGBoost (learning_rate=unknown, max_depth=unknown, n_estimators=unknown)",0.6209,0.4865,0.7836,0.2971,0.0937,7,"[0.261, 0.980]",0.1834,sub-4_sub-16_sub-20_sub-44_sub-55_sub-65;sub-8_sub-29_sub-34_sub-39_sub-44_sub-47;sub-10_sub-17_sub-30_sub-41_sub-44_sub-60;sub-9_sub-12_sub-28_sub-44_sub-45_sub-51;sub-5_sub-13_sub-24_sub-38_sub-44_sub-58;sub-5_sub-22_sub-33_sub-44_sub-45_sub-58;sub-1_sub-6_sub-35_sub-44_sub-61_sub-64
ANOVA_L_6_Random,random,sub-44,"SVM (kernel=linear, C=0.1, gamma=auto)",0.7148,0.6914,0.7474,0.0561,0.0292,3,"[0.204, 1.000]",0.2607,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56;sub-2_sub-8_sub-18_sub-41_sub-44_sub-60;sub-5_sub-11_sub-18_sub-44_sub-54_sub-60
ANOVA_L_6_Random,random,sub-44,"SVM (kernel=poly, C=0.1, gamma=auto)",0.6368,0.5879,0.6825,0.0946,0.0474,3,"[0.093, 1.000]",0.2777,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51;sub-5_sub-22_sub-33_sub-44_sub-45_sub-58;sub-1_sub-6_sub-35_sub-44_sub-61_sub-64
ANOVA_L_6_Random,random,sub-44,"SVM (kernel=rbf, C=0.1, gamma=auto)",0.6727,0.6240,0.7596,0.1357,0.0536,5,"[0.261, 1.000]",0.2098,sub-4_sub-16_sub-20_sub-44_sub-55_sub-65;sub-8_sub-29_sub-34_sub-39_sub-44_sub-47;sub-2_sub-15_sub-36_sub-37_sub-44_sub-55;sub-10_sub-17_sub-30_sub-41_sub-44_sub-60;sub-5_sub-13_sub-24_sub-38_sub-44_sub-58
ANOVA_L_6_Random,random,sub-44,"MLP (activation=tanh, alpha=0.1, hidden=[])",0.7181,0.6489,0.8260,0.1771,0.0582,7,"[0.385, 1.000]",0.1701,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56;sub-4_sub-16_sub-20_sub-44_sub-55_sub-65;sub-8_sub-29_sub-34_sub-39_sub-44_sub-47;sub-10_sub-17_sub-30_sub-41_sub-44_sub-60;sub-5_sub-13_sub-24_sub-38_sub-44_sub-58;sub-5_sub-11_sub-18_sub-44_sub-54_sub-60;sub-1_sub-6_sub-35_sub-44_sub-61_sub-64
ANOVA_L_6_Random,random,sub-53,"KNN (n_neighbors=unknown, metric=euclidean, weights=uniform)",0.7262,0.6457,0.7752,0.1295,0.0703,3,"[0.222, 1.000]",0.2574,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56;sub-12_sub-17_sub-33_sub-40_sub-53_sub-64;sub-15_sub-24_sub-26_sub-41_sub-52_sub-53
