Subject,Fold,Model,Accuracy
sub-1,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,KNN,0.7232
sub-1,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,MLP_(Neural_Network),0.9922
sub-1,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,SVM,1.0000
sub-1,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,XGBoost,0.9164
sub-1,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,KNN,0.8903
sub-1,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,MLP_(Neural_Network),0.8433
sub-1,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,SVM,0.9843
sub-1,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,XGBoost,0.7572
sub-2,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59,KNN,0.5220
sub-2,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59,MLP_(Neural_Network),0.6673
sub-2,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59,SVM,0.7113
sub-2,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59,XGBoost,0.4780
sub-2,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,KNN,0.5143
sub-2,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,MLP_(Neural_Network),0.4130
sub-2,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,SVM,0.7017
sub-2,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,XGBoost,0.4570
sub-2,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,KNN,0.4857
sub-2,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,MLP_(Neural_Network),0.6080
sub-2,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,SVM,0.7285
sub-2,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,XGBoost,0.4264
sub-2,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,KNN,0.4780
sub-2,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,MLP_(Neural_Network),0.7686
sub-2,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,SVM,0.7113
sub-2,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,XGBoost,0.4302
sub-2,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,KNN,0.5468
sub-2,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,MLP_(Neural_Network),0.4857
sub-2,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,SVM,0.7132
sub-2,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,XGBoost,0.6405
sub-3,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,KNN,0.5468
sub-3,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,MLP_(Neural_Network),0.6502
sub-3,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,SVM,0.8719
sub-3,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,XGBoost,0.8276
sub-3,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60,KNN,0.5911
sub-3,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60,MLP_(Neural_Network),0.9557
sub-3,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60,SVM,0.6552
sub-3,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60,XGBoost,0.8030
sub-4,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,KNN,0.7792
sub-4,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,MLP_(Neural_Network),0.9868
sub-4,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,SVM,1.0000
sub-4,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,XGBoost,0.9735
sub-4,sub-4_sub-16_sub-20_sub-44_sub-55_sub-65,KNN,0.9007
sub-4,sub-4_sub-16_sub-20_sub-44_sub-55_sub-65,MLP_(Neural_Network),0.9779
sub-4,sub-4_sub-16_sub-20_sub-44_sub-55_sub-65,SVM,0.9890
sub-4,sub-4_sub-16_sub-20_sub-44_sub-55_sub-65,XGBoost,0.9978
sub-4,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,KNN,0.8300
sub-4,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,MLP_(Neural_Network),0.9801
sub-4,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,SVM,0.9890
sub-4,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,XGBoost,0.9978
sub-4,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,KNN,0.8698
sub-4,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,SVM,1.0000
sub-4,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,XGBoost,0.9007
sub-4,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62,KNN,0.7594
sub-4,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62,MLP_(Neural_Network),0.9757
sub-4,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62,SVM,1.0000
sub-4,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62,XGBoost,0.8808
sub-5,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,KNN,0.7591
sub-5,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,MLP_(Neural_Network),0.5183
sub-5,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,SVM,0.9355
sub-5,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,XGBoost,0.6839
sub-5,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,KNN,0.7742
sub-5,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,MLP_(Neural_Network),0.9269
sub-5,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,SVM,0.9935
sub-5,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,XGBoost,0.6000
sub-5,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,KNN,0.7484
sub-5,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,MLP_(Neural_Network),0.8323
sub-5,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,SVM,0.9935
sub-5,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,XGBoost,0.4946
sub-5,sub-5_sub-22_sub-33_sub-44_sub-45_sub-58,KNN,0.8108
sub-5,sub-5_sub-22_sub-33_sub-44_sub-45_sub-58,SVM,0.9914
sub-5,sub-5_sub-22_sub-33_sub-44_sub-45_sub-58,XGBoost,0.5935
sub-5,sub-5_sub-25_sub-28_sub-49_sub-51_sub-56,KNN,0.7505
sub-5,sub-5_sub-25_sub-28_sub-49_sub-51_sub-56,MLP_(Neural_Network),0.3720
sub-5,sub-5_sub-25_sub-28_sub-49_sub-51_sub-56,SVM,0.9914
sub-5,sub-5_sub-25_sub-28_sub-49_sub-51_sub-56,XGBoost,0.6731
sub-5,sub-5_sub-29_sub-36_sub-38_sub-40_sub-57,KNN,0.7656
sub-5,sub-5_sub-29_sub-36_sub-38_sub-40_sub-57,MLP_(Neural_Network),0.9269
sub-5,sub-5_sub-29_sub-36_sub-38_sub-40_sub-57,SVM,0.9914
sub-5,sub-5_sub-29_sub-36_sub-38_sub-40_sub-57,XGBoost,0.8108
sub-5,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61,KNN,0.6366
sub-5,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61,MLP_(Neural_Network),0.8430
sub-5,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61,SVM,0.9935
sub-5,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61,XGBoost,0.6731
sub-6,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,KNN,0.2530
sub-6,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,MLP_(Neural_Network),0.1608
sub-6,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,SVM,0.5059
sub-6,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,XGBoost,0.1466
sub-6,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,KNN,0.2340
sub-6,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,MLP_(Neural_Network),0.2813
sub-6,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,SVM,0.4681
sub-6,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,XGBoost,0.1655
sub-6,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,KNN,0.2742
sub-6,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,SVM,0.4775
