Subject,Median_Accuracy,Mean_Accuracy,N_Folds,N_Observations
sub-1,0.9608,0.9310,1,12
sub-2,0.7065,0.6538,1,12
sub-3,0.7241,0.7176,1,12
sub-4,0.9558,0.9301,1,12
sub-5,0.7376,0.7575,1,12
sub-6,0.3582,0.3308,1,12
sub-7,0.9941,0.9469,1,12
sub-8,0.9853,0.9454,1,12
sub-9,0.8658,0.8087,1,12
sub-10,0.5000,0.5546,1,12
sub-11,0.9041,0.8507,1,12
sub-12,0.6774,0.7001,1,12
sub-13,0.7944,0.7798,1,12
sub-14,0.8243,0.8623,1,12
sub-15,0.8091,0.7836,1,12
sub-16,0.9172,0.8760,1,12
sub-17,0.8489,0.8168,1,12
sub-18,0.9273,0.9013,1,12
sub-19,0.7967,0.7574,1,12
sub-20,0.7861,0.7602,1,12
sub-21,0.9712,0.9164,1,12
sub-22,0.7505,0.7777,1,12
sub-23,0.6810,0.6888,1,12
sub-24,0.9495,0.9173,1,12
sub-25,0.1793,0.1925,1,12
sub-26,0.7382,0.7101,1,12
sub-27,0.9855,0.9798,1,12
sub-28,0.8346,0.6844,1,12
sub-29,0.6903,0.6306,1,12
sub-30,0.8765,0.8653,1,12
sub-31,0.3992,0.4236,1,12
sub-32,0.9722,0.9160,1,12
sub-33,0.7957,0.7904,1,12
sub-34,0.8937,0.9001,1,12
sub-35,0.8984,0.8949,1,12
sub-36,0.5676,0.5560,1,12
sub-37,0.6517,0.6440,2,24
sub-38,0.6089,0.5711,2,24
sub-39,0.7219,0.6970,2,24
sub-40,0.7175,0.7263,2,24
sub-41,0.7170,0.6222,2,24
sub-42,0.8265,0.7804,2,24
sub-43,0.1838,0.2271,2,24
sub-44,0.5548,0.5345,1,12
sub-45,0.2905,0.2902,1,12
sub-46,0.6828,0.6708,1,12
sub-47,0.7412,0.7245,1,12
sub-48,0.7675,0.7396,1,12
sub-49,0.9711,0.8902,1,12
sub-50,0.2860,0.2568,1,12
sub-51,0.3632,0.3466,1,12
sub-52,0.4444,0.4497,1,12
sub-53,0.4926,0.5214,1,12
sub-54,0.6491,0.6484,1,12
sub-55,0.9231,0.8520,1,12
sub-56,0.8363,0.8078,1,12
sub-57,0.8614,0.8176,1,12
sub-58,0.6006,0.5722,1,12
sub-59,0.0295,0.0952,1,12
sub-60,0.2389,0.2153,1,12
sub-61,0.3529,0.3294,1,12
sub-62,0.9239,0.9030,1,12
sub-63,0.3987,0.3990,1,12
sub-64,0.9252,0.9088,1,12
sub-65,0.5603,0.4753,1,12
