Subject,Median_Accuracy,Mean_Accuracy,N_Folds,N_Observations
sub-1,1.0000,0.8375,1,12
sub-2,0.9532,0.7604,1,12
sub-3,0.9828,0.7422,1,12
sub-4,1.0000,0.8074,1,12
sub-5,1.0000,0.8045,1,12
sub-6,0.9704,0.7498,1,12
sub-7,0.9488,0.7413,1,12
sub-8,0.9199,0.7308,1,12
sub-9,0.7463,0.6346,1,12
sub-10,0.8926,0.6448,1,12
sub-11,0.7694,0.6171,1,12
sub-12,0.8861,0.6425,1,12
sub-13,0.9981,0.6794,1,12
sub-14,0.9850,0.6816,1,12
sub-15,0.8818,0.6264,1,12
sub-16,1.0000,0.8355,1,12
sub-17,1.0000,0.8248,1,12
sub-18,1.0000,0.8227,1,12
sub-19,0.9925,0.7858,1,12
sub-20,0.9973,0.8228,1,12
sub-21,1.0000,0.8125,1,12
sub-22,0.9990,0.8279,1,12
sub-23,0.9990,0.8144,1,12
sub-24,1.0000,0.8297,1,12
sub-25,0.7126,0.5981,1,12
sub-26,1.0000,0.7682,1,12
sub-27,0.9990,0.7813,1,12
sub-28,1.0000,0.8960,1,12
sub-29,1.0000,0.9007,1,12
sub-30,1.0000,0.8958,1,12
sub-31,0.9520,0.7089,1,12
sub-32,0.9974,0.7535,1,12
sub-33,0.9957,0.7512,1,12
sub-34,1.0000,0.9303,1,12
sub-35,1.0000,0.9349,1,12
sub-36,0.9964,0.8967,1,12
sub-37,0.0778,0.2426,2,24
sub-38,0.0348,0.2589,2,24
sub-39,0.2914,0.4084,2,24
sub-40,0.1535,0.3381,2,24
sub-41,0.0747,0.1908,2,24
sub-42,0.1530,0.2484,2,24
sub-43,0.0065,0.1903,2,24
sub-44,0.5839,0.5985,1,12
sub-45,0.1718,0.3230,1,12
sub-46,0.4484,0.5283,1,12
sub-47,0.3196,0.4627,1,12
sub-48,0.4509,0.5279,1,12
sub-49,0.4509,0.5361,1,12
sub-50,0.0230,0.3253,1,12
sub-51,0.0299,0.3337,1,12
sub-52,0.0754,0.2561,1,12
sub-53,0.0263,0.2365,1,12
sub-54,0.0274,0.2379,1,12
sub-55,0.2201,0.3430,1,12
sub-56,0.1357,0.3387,1,12
sub-57,0.1281,0.3027,1,12
sub-58,0.0187,0.2342,1,12
sub-59,0.0000,0.1729,1,12
sub-60,0.0000,0.1709,1,12
sub-61,0.0706,0.2691,1,12
sub-62,0.3266,0.3913,1,12
sub-63,0.0130,0.2392,1,12
sub-64,0.3650,0.4071,1,12
sub-65,0.0018,0.1281,1,12
