experiment,subject_id,model,median_accuracy,mean_accuracy,n_folds
ANOVA_L_2_Random,sub-1,KNN,0.8198,0.8198,2
ANOVA_L_2_Random,sub-1,MLP_(Neural_Network),0.8276,0.8276,2
ANOVA_L_2_Random,sub-1,SVM,1.0,1.0,2
ANOVA_L_2_Random,sub-1,XGBoost,0.906,0.906,2
ANOVA_L_2_Random,sub-2,KNN,0.5058,0.5058,2
ANOVA_L_2_Random,sub-2,MLP_(Neural_Network),0.4637,0.4637,2
ANOVA_L_2_Random,sub-2,SVM,0.7112,0.7112,2
ANOVA_L_2_Random,sub-2,XGBoost,0.5525,0.5525,2
ANOVA_L_2_Random,sub-3,KNN,0.5837,0.5837,2
ANOVA_L_2_Random,sub-3,MLP_(Neural_Network),0.9458,0.9458,2
ANOVA_L_2_Random,sub-3,SVM,0.7685,0.7685,2
ANOVA_L_2_Random,sub-3,XGBoost,0.9138,0.9138,2
ANOVA_L_2_Random,sub-4,KNN,0.7638,0.7638,1
ANOVA_L_2_Random,sub-4,MLP_(Neural_Network),0.9647,0.9647,1
ANOVA_L_2_Random,sub-4,SVM,0.9978,0.9978,1
ANOVA_L_2_Random,sub-4,XGBoost,0.9227,0.9227,1
ANOVA_L_2_Random,sub-5,KNN,0.7957,0.7957,2
ANOVA_L_2_Random,sub-5,MLP_(Neural_Network),0.8279,0.8279,2
ANOVA_L_2_Random,sub-5,SVM,0.9925,0.9925,2
ANOVA_L_2_Random,sub-5,XGBoost,0.6581,0.6581,2
ANOVA_L_2_Random,sub-6,KNN,0.266,0.266,2
ANOVA_L_2_Random,sub-6,MLP_(Neural_Network),0.4291,0.4291,2
ANOVA_L_2_Random,sub-6,SVM,0.474,0.474,2
ANOVA_L_2_Random,sub-6,XGBoost,0.3156,0.3156,2
ANOVA_L_2_Random,sub-7,KNN,0.8189,0.794,3
ANOVA_L_2_Random,sub-7,MLP_(Neural_Network),0.8898,0.8924,3
ANOVA_L_2_Random,sub-7,SVM,0.998,0.9941,3
ANOVA_L_2_Random,sub-7,XGBoost,0.9606,0.9521,3
