Experiment,Model×Hyperparameter,Subject,N_Folds,Mean_Accuracy,Median_Accuracy,Min_Accuracy,Max_Accuracy,Std_Dev,N_Correctly_Classified,Pct_Correctly_Classified,Fold_Accuracies,Fold_IDs
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-1,1,0.7259,0.7259,0.7259,0.7259,0.0000,1,100.00,0.7259,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-10,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-11,6,0.7046,0.7273,0.5567,0.7592,0.0736,6,100.00,0.7288;0.5567;0.7259;0.7592;0.7228;0.7342,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49;sub-11_sub-25_sub-30_sub-45_sub-57_sub-59;sub-1_sub-11_sub-28_sub-41_sub-45_sub-47;sub-11_sub-34_sub-35_sub-37_sub-47_sub-56;sub-11_sub-27_sub-32_sub-43_sub-52_sub-64;sub-5_sub-11_sub-18_sub-44_sub-54_sub-60
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-12,1,0.7752,0.7752,0.7752,0.7752,0.0000,1,100.00,0.7752,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-13,1,0.6191,0.6191,0.6191,0.6191,0.0000,1,100.00,0.6191,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-14,3,0.6847,0.6457,0.6193,0.7891,0.0913,3,100.00,0.6457;0.7891;0.6193,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56;sub-14_sub-21_sub-32_sub-49_sub-57_sub-65;sub-14_sub-28_sub-35_sub-59_sub-60_sub-61
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-15,3,0.7268,0.7578,0.6353,0.7874,0.0806,3,100.00,0.6353;0.7578;0.7874,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55;sub-15_sub-24_sub-26_sub-41_sub-52_sub-53;sub-15_sub-27_sub-29_sub-45_sub-55_sub-62
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-16,1,0.6856,0.6856,0.6856,0.6856,0.0000,1,100.00,0.6856,sub-16_sub-27_sub-31_sub-40_sub-43_sub-58
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-17,3,0.7457,0.7626,0.6994,0.7752,0.0406,3,100.00,0.6994;0.7752;0.7626,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60;sub-12_sub-17_sub-33_sub-40_sub-53_sub-64;sub-17_sub-34_sub-36_sub-37_sub-58_sub-64
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-18,2,0.7248,0.7248,0.7155,0.7342,0.0132,2,100.00,0.7155;0.7342,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60;sub-5_sub-11_sub-18_sub-44_sub-54_sub-60
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-19,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-2,4,0.6539,0.6405,0.6191,0.7155,0.0425,4,100.00,0.6457;0.6353;0.7155;0.6191,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56;sub-2_sub-15_sub-36_sub-37_sub-44_sub-55;sub-2_sub-8_sub-18_sub-41_sub-44_sub-60;sub-2_sub-13_sub-36_sub-54_sub-57_sub-59
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-20,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
