Experiment,Model×Hyperparameter,Subject,N_Folds,Mean_Accuracy,Median_Accuracy,Min_Accuracy,Max_Accuracy,Std_Dev,N_Correctly_Classified,Pct_Correctly_Classified,Fold_Accuracies,Fold_IDs
PCA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-1,1,0.5585,0.5585,0.5585,0.5585,0.0000,1,100.00,0.5585,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47
PCA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-10,1,0.4733,0.4733,0.4733,0.4733,0.0000,0,0.00,0.4733,sub-10_sub-32_sub-36_sub-38_sub-43_sub-46
PCA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-11,1,0.5585,0.5585,0.5585,0.5585,0.0000,1,100.00,0.5585,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47
PCA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-12,1,0.6931,0.6931,0.6931,0.6931,0.0000,1,100.00,0.6931,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64
PCA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-13,1,0.5110,0.5110,0.5110,0.5110,0.0000,1,100.00,0.5110,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58
PCA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-14,1,0.5034,0.5034,0.5034,0.5034,0.0000,1,100.00,0.5034,sub-14_sub-28_sub-35_sub-59_sub-60_sub-61
PCA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-15,4,0.5186,0.5029,0.4924,0.5761,0.0388,2,50.00,0.4994;0.4924;0.5761;0.5064,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55;sub-4_sub-5_sub-15_sub-38_sub-39_sub-65;sub-3_sub-15_sub-21_sub-39_sub-45_sub-49;sub-15_sub-21_sub-36_sub-38_sub-61_sub-63
PCA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-16,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
PCA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-17,2,0.7084,0.7084,0.6931,0.7237,0.0216,2,100.00,0.6931;0.7237,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64;sub-17_sub-34_sub-36_sub-37_sub-58_sub-64
PCA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-18,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
PCA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-19,1,0.6166,0.6166,0.6166,0.6166,0.0000,1,100.00,0.6166,sub-8_sub-19_sub-28_sub-37_sub-42_sub-51
